Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,2.0
2016,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,3.9
2017,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,5.9
2018,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,9.5
2019,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,11.2
2020,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,12.9
