Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,N_KH_100a01_01,KH,NUMBER,6
2016,N_KH_100a01_01,KH,NUMBER,6
2017,N_KH_100a01_01,KH,NUMBER,7
2018,N_KH_100a01_01,KH,NUMBER,7
2019,N_KH_100a01_01,KH,NUMBER,7
2020,N_KH_100a01_01,KH,NUMBER,10
