Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,៨.២.២.១ អត្រាកំណើននៃការចុះបញ្ជីពណិជ្ជកម្ម ដោយស័យ្វ ប្រវតិ្តកម្ម,,PT,15
2016,៨.២.២.១ អត្រាកំណើននៃការចុះបញ្ជីពណិជ្ជកម្ម ដោយស័យ្វ ប្រវតិ្តកម្ម,,PT,-4
2017,៨.២.២.១ អត្រាកំណើននៃការចុះបញ្ជីពណិជ្ជកម្ម ដោយស័យ្វ ប្រវតិ្តកម្ម,,PT,25
2018,៨.២.២.១ អត្រាកំណើននៃការចុះបញ្ជីពណិជ្ជកម្ម ដោយស័យ្វ ប្រវតិ្តកម្ម,,PT,92
2019,៨.២.២.១ អត្រាកំណើននៃការចុះបញ្ជីពណិជ្ជកម្ម ដោយស័យ្វ ប្រវតិ្តកម្ម,,PT,-1
2020,៨.២.២.១ អត្រាកំណើននៃការចុះបញ្ជីពណិជ្ជកម្ម ដោយស័យ្វ ប្រវតិ្តកម្ម,,PT,19
