Year,SERIES,Reference area,UNIT_MEASURE,Value
2016,14.5.1 Percentage of coverage of marine and inland fisheries conservation areas protected,Cambodia,Percent,20
2017,14.5.1 Percentage of coverage of marine and inland fisheries conservation areas protected,Cambodia,Percent,25
2018,14.5.1 Percentage of coverage of marine and inland fisheries conservation areas protected,Cambodia,Percent,30
2019,14.5.1 Percentage of coverage of marine and inland fisheries conservation areas protected,Cambodia,Percent,35
2020,14.5.1 Percentage of coverage of marine and inland fisheries conservation areas protected,Cambodia,Percent,40
