Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,8.2.2.2 Growth rate of online trade mark registration,Cambodia,Percent,-9
2016,8.2.2.2 Growth rate of online trade mark registration,Cambodia,Percent,4
2017,8.2.2.2 Growth rate of online trade mark registration,Cambodia,Percent,-11
2018,8.2.2.2 Growth rate of online trade mark registration,Cambodia,Percent,6
2019,8.2.2.2 Growth rate of online trade mark registration,Cambodia,Percent,5
2020,8.2.2.2 Growth rate of online trade mark registration,Cambodia,Percent,-3
