Year,Value,SERIES
2005,1769327,N_KH_090102_01
2006,2340235,N_KH_090102_01
2007,2979116,N_KH_090102_01
2008,2878513,N_KH_090102_01
2009,2524294,N_KH_090102_01
2010,3051601,N_KH_090102_01
2011,3480843,N_KH_090102_01
2012,3997331,N_KH_090102_01
2013,4606281,N_KH_090102_01
2014,5168687,N_KH_090102_01
2015,5606317,N_KH_090102_01
2016,6201338,N_KH_090102_01
2017,6877284,N_KH_090102_01
2018,7626908,N_KH_090102_01
2019,8458241,N_KH_090102_01
2020,9380189,N_KH_090102_01
2005,158384,N_KH_090102_02
2006,159478,N_KH_090102_02
2007,187066,N_KH_090102_02
2008,182328,N_KH_090102_02
2009,143649,N_KH_090102_02
2010,136678,N_KH_090102_02
2011,144465,N_KH_090102_02
2012,172223,N_KH_090102_02
2013,214418,N_KH_090102_02
2014,298904,N_KH_090102_02
2015,436167,N_KH_090102_02
2016,423478,N_KH_090102_02
2017,432795,N_KH_090102_02
2018,442316,N_KH_090102_02
2019,452047,N_KH_090102_02
2020,461992,N_KH_090102_02
