Year,Value
1979,4674
1980,1343
1981,1021
1982,1893
1983,2761
1984,2966
1985,3520
1986,2902
1987,3533
1988,2967
1989,3333
1990,3000
1991,2427
1992,2189
1993,2535
1994,2809
1995,3333
1996,4320
1997,2298
1998,2150
1999,1153
2000,858
2001,826
2002,847
2003,772
2004,898
2005,875
2006,450
2007,352
2008,271
2009,244
2010,286
2011,211
2012,186
2013,111
2014,154
2015,111
2016,100
2017,90
2018,81
2019,73
2020,66
