Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,,NUMBER,6
2016,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,,NUMBER,6
2017,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,,NUMBER,7
2018,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,,NUMBER,7
2019,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,,NUMBER,7
2020,១០.ក.១ ចំនួនកិច្ចព្រមព្រៀងពាណិជ្ជកម្មជាមួយបរទេស,,NUMBER,10
