Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,Value
2015,៤.គ.២ ភាគរយគ្រូមេត្តយ្យសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ISCED11_02,PT,56.0
2016,៤.គ.២ ភាគរយគ្រូមេត្តយ្យសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ISCED11_02,PT,62.1
2017,៤.គ.២ ភាគរយគ្រូមេត្តយ្យសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ISCED11_02,PT,63.6
2018,៤.គ.២ ភាគរយគ្រូមេត្តយ្យសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ISCED11_02,PT,64.0
2019,៤.គ.២ ភាគរយគ្រូមេត្តយ្យសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ISCED11_02,PT,65.3
2020,៤.គ.២ ភាគរយគ្រូមេត្តយ្យសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,ISCED11_02,PT,66.7
