Year,SERIES,REF_AREA,UNIT_MEASURE,Value
1994,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,-34.8
1995,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,9.9
1996,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,5.9
1997,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,4.0
1998,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,4.7
1999,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,12.7
2000,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,10.7
2001,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,7.4
2002,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,6.6
2003,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,8.5
2004,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,10.3
2005,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,13.3
2006,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,10.8
2007,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,10.2
2008,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,6.7
2009,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,0.1
2010,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,6.0
2011,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,7.1
2012,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,7.3
2013,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,7.4
2014,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,7.1
2015,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,7.0
2016,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,7.0
2017,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,7.0
2018,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,7.5
2019,៨.១.១ កំណើនផលិតផលក្នុងស្រុកសរុបប្រចាំឆ្នាំគិតតាមថ្លៃថេរ,KH,PT,7.1
