Year,SERIES,REF_AREA,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,Value
2016,១០.១.១ អត្រានៃការចំណាយ/ការប្រើប្រាស់ ឬចំណូលរបស់គ្រួសារសម្រាប់មនុស្សម្នាក់  ក្នុងចំណោមប្រជាជន៤០ភាគរយដែលមានចំណូលទាបជាងគេ ធៀបនឹងការចំណាយ/ការប្រើប្រាស់ ឬចំណូលមធ្យមរបស់ប្រជាជន,KH,B40,PT,5.2
2020,១០.១.១ អត្រានៃការចំណាយ/ការប្រើប្រាស់ ឬចំណូលរបស់គ្រួសារសម្រាប់មនុស្សម្នាក់  ក្នុងចំណោមប្រជាជន៤០ភាគរយដែលមានចំណូលទាបជាងគេ ធៀបនឹងការចំណាយ/ការប្រើប្រាស់ ឬចំណូលមធ្យមរបស់ប្រជាជន,KH,B40,PT,9.2
