Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2015,៣.ក.២ ប្រេវ៉ាឡង់នៃការប្រើប្រាស់ថ្នាំជក់ក្នុងចំណោមយុវវ័យអាយុពី១៣ដល់១៥ឆ្នាំ,,Y13T15,PT,6.3
2020,៣.ក.២ ប្រេវ៉ាឡង់នៃការប្រើប្រាស់ថ្នាំជក់ក្នុងចំណោមយុវវ័យអាយុពី១៣ដល់១៥ឆ្នាំ,,Y13T15,PT,5.0
