Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2016,"៥.៣.១ សមាមាត្ររបស់ស្តី្រអាយុពី២០ដល់២៤ឆ្នាំដែលបានរៀបការឬរស់នៅជាមួយគ្នា
មុនអាយុ១៨ឆ្នាំ",,F,Y20T24,PT,1.9
2018,"៥.៣.១ សមាមាត្ររបស់ស្តី្រអាយុពី២០ដល់២៤ឆ្នាំដែលបានរៀបការឬរស់នៅជាមួយគ្នា
មុនអាយុ១៨ឆ្នាំ",,F,Y20T24,PT,1.8
