Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2015,៤.៣.២ អត្រារួមនៃការសិក្សាក្នុងកម្មវិធីអប់រំបច្ចេកទេសនិងវិជ្ជាជីវៈ (១៥ ដល់ ២៤ឆ្នាំ),KH,Y15T24,PT,0.03
2016,៤.៣.២ អត្រារួមនៃការសិក្សាក្នុងកម្មវិធីអប់រំបច្ចេកទេសនិងវិជ្ជាជីវៈ (១៥ ដល់ ២៤ឆ្នាំ),KH,Y15T24,PT,2.4
2017,៤.៣.២ អត្រារួមនៃការសិក្សាក្នុងកម្មវិធីអប់រំបច្ចេកទេសនិងវិជ្ជាជីវៈ (១៥ ដល់ ២៤ឆ្នាំ),KH,Y15T24,PT,4.7
2018,៤.៣.២ អត្រារួមនៃការសិក្សាក្នុងកម្មវិធីអប់រំបច្ចេកទេសនិងវិជ្ជាជីវៈ (១៥ ដល់ ២៤ឆ្នាំ),KH,Y15T24,PT,7.0
2019,៤.៣.២ អត្រារួមនៃការសិក្សាក្នុងកម្មវិធីអប់រំបច្ចេកទេសនិងវិជ្ជាជីវៈ (១៥ ដល់ ២៤ឆ្នាំ),KH,Y15T24,PT,9.4
2020,៤.៣.២ អត្រារួមនៃការសិក្សាក្នុងកម្មវិធីអប់រំបច្ចេកទេសនិងវិជ្ជាជីវៈ (១៥ ដល់ ២៤ឆ្នាំ),KH,Y15T24,PT,11.7
