Year,SOURCE_DETAIL,REF_AREA,TIME_DETAIL,Value
2014,MoSVY_National Fund for Veterans,KH,2020,47375
2016,MoSVY_National Fund for Veterans,KH,2020,52274
2017,MoSVY_National Fund for Veterans,KH,2020,54092
2018,MoSVY_National Fund for Veterans,KH,2020,55702
2019,MoSVY_National Fund for Veterans,KH,2020,57282
2020,MoSVY_National Fund for Veterans,KH,2020,58762
2014,MoSVY_National Fund for Veterans_2015,KH01,2014,1192
2014,MoSVY_National Fund for Veterans_2015,KH02,2014,2711
2014,MoSVY_National Fund for Veterans_2015,KH03,2014,4644
2014,MoSVY_National Fund for Veterans_2015,KH04,2014,1325
2014,MoSVY_National Fund for Veterans_2015,KH05,2014,1743
2014,MoSVY_National Fund for Veterans_2015,KH06,2014,1732
2014,MoSVY_National Fund for Veterans_2015,KH07,2014,1889
2014,MoSVY_National Fund for Veterans_2015,KH08,2014,3705
2014,MoSVY_National Fund for Veterans_2015,KH23,2014,242
2014,MoSVY_National Fund for Veterans_2015,KH09,2014,230
2014,MoSVY_National Fund for Veterans_2015,KH10,2014,1052
2014,MoSVY_National Fund for Veterans_2015,KH11,2014,315
2014,MoSVY_National Fund for Veterans_2015,KH22,2014,190
2014,MoSVY_National Fund for Veterans_2015,KH24,2014,146
2014,MoSVY_National Fund for Veterans_2015,KH12,2014,14628
2014,MoSVY_National Fund for Veterans_2015,KH18,2014,606
2014,MoSVY_National Fund for Veterans_2015,KH13,2014,385
2014,MoSVY_National Fund for Veterans_2015,KH14,2014,3232
2014,MoSVY_National Fund for Veterans_2015,KH15,2014,1228
2014,MoSVY_National Fund for Veterans_2015,KH16,2014,125
2014,MoSVY_National Fund for Veterans_2015,KH17,2014,1562
2014,MoSVY_National Fund for Veterans_2015,KH19,2014,372
2014,MoSVY_National Fund for Veterans_2015,KH20,2014,1664
2014,MoSVY_National Fund for Veterans_2015,KH21,2014,2457
