Year,REF_AREA,SEX,URBANISATION,TIME_DETAIL,Value
1998,KH,F,,2019,58.3
2000,KH,F,,2019,54.4
2001,KH,F,,2019,55.1
2002,KH,F,,2019,55.8
2003,KH,F,,2019,56.5
2004,KH,F,,2019,57.2
2005,KH,F,,2019,57.9
2006,KH,F,,2019,58.6
2007,KH,F,,2019,59.3
2008,KH,F,,2019,64.3
2009,KH,F,,2019,65.2
2010,KH,F,,2019,66.1
2011,KH,F,,2019,67.0
2012,KH,F,,2019,67.9
2013,KH,F,,2019,68.8
2014,KH,F,,2019,69.6
2015,KH,F,,2019,70.4
2016,KH,F,,2019,71.2
2017,KH,F,,2019,72.0
2018,KH,F,,2019,72.7
2019,KH,F,,2019,76.8
1998,KH,M,,2019,54.4
2000,KH,M,,2019,60.6
2001,KH,M,,2019,61.3
2002,KH,M,,2019,62.0
2003,KH,M,,2019,62.7
2004,KH,M,,2019,63.4
2005,KH,M,,2019,64.1
2006,KH,M,,2019,64.9
2007,KH,M,,2019,65.6
2008,KH,M,,2019,60.5
2009,KH,M,,2019,61.4
2010,KH,M,,2019,62.3
2011,KH,M,,2019,63.1
2012,KH,M,,2019,64.0
2013,KH,M,,2019,64.8
2014,KH,M,,2019,65.6
2015,KH,M,,2019,66.4
2016,KH,M,,2019,67.1
2017,KH,M,,2019,67.9
2018,KH,M,,2019,68.6
2019,KH,M,,2019,74.3
1998,KH,,,2019,56.3
2000,KH,,,2019,57.5
2001,KH,,,2019,58.2
2002,KH,,,2019,58.9
2003,KH,,,2019,59.6
2004,KH,,,2019,60.3
2005,KH,,,2019,61.0
2006,KH,,,2019,61.7
2007,KH,,,2019,62.4
2008,KH,,,2019,62.4
2009,KH,,,2019,63.8
2010,KH,,,2019,64.5
2011,KH,,,2019,65.2
2012,KH,,,2019,66.7
2013,KH,,,2019,67.6
2014,KH,,,2019,68.3
2015,KH,,,2019,69.1
2016,KH,,,2019,69.9
2017,KH,,,2019,70.6
2018,KH,,,2019,70.6
2019,KH,,,2019,75.5
1998,KH,,U,2019,60.0
2019,KH,,U,2019,75.6
1998,KH,,R,2019,55.8
2019,KH,,R,2019,74.5
2008,KH01,F,,2008,67.9
2008,KH01,M,,2008,64.0
2008,KH01,,,2008,65.9
2008,KH02,F,,2008,67.2
2008,KH02,M,,2008,63.3
2008,KH02,,,2008,65.2
2008,KH03,F,,2008,66.7
2008,KH03,M,,2008,62.9
2008,KH03,,,2008,64.8
2008,KH04,F,,2008,68.6
2008,KH04,M,,2008,64.7
2008,KH04,,,2008,66.6
2008,KH05,F,,2008,63.8
2008,KH05,M,,2008,60.0
2008,KH05,,,2008,61.8
2008,KH06,F,,2008,64.7
2008,KH06,M,,2008,60.9
2008,KH06,,,2008,62.8
2008,KH07,F,,2008,62.1
2008,KH07,M,,2008,58.5
2008,KH07,,,2008,60.2
2008,KH08,F,,2008,67.1
2008,KH08,M,,2008,63.2
2008,KH08,,,2008,65.1
2008,KH23,F,,2008,65.0
2008,KH23,M,,2008,61.2
2008,KH23,,,2008,63.0
2008,KH09,F,,2008,60.9
2008,KH09,M,,2008,57.3
2008,KH09,,,2008,59.1
2008,KH10,F,,2008,60.5
2008,KH10,M,,2008,57.0
2008,KH10,,,2008,58.7
2008,KH11,F,,2008,45.5
2008,KH11,M,,2008,52.5
2008,KH11,,,2008,44.0
2008,KH22,F,,2008,60.8
2008,KH22,M,,2008,57.2
2008,KH22,,,2008,59.0
2008,KH24,F,,2008,64.2
2008,KH24,M,,2008,60.4
2008,KH24,,,2008,62.3
2008,KH12,F,,2008,70.8
2008,KH12,M,,2008,66.8
2008,KH12,,,2008,68.8
2008,KH18,F,,2008,54.4
2008,KH18,M,,2008,51.3
2008,KH18,,,2008,52.8
2008,KH13,F,,2008,43.4
2008,KH13,M,,2008,40.5
2008,KH13,,,2008,41.9
2008,KH14,F,,2008,65.7
2008,KH14,M,,2008,61.9
2008,KH14,,,2008,63.8
2008,KH15,F,,2008,65.1
2008,KH15,M,,2008,61.4
2008,KH15,,,2008,63.2
2008,KH16,F,,2008,35.0
2008,KH16,M,,2008,32.5
2008,KH16,,,2008,33.7
2008,KH17,F,,2008,70.0
2008,KH17,M,,2008,66.1
2008,KH17,,,2008,68.7
2008,KH19,F,,2008,54.6
2008,KH19,M,,2008,51.5
2008,KH19,,,2008,53.0
2008,KH20,F,,2008,58.8
2008,KH20,M,,2008,55.3
2008,KH20,,,2008,57.0
2008,KH21,F,,2008,64.3
2008,KH21,M,,2008,60.5
2008,KH21,,,2008,62.4
2019,KH,F,U,2019,77.7
2019,KH,F,R,2019,76.4
2019,KH,M,R,2019,72.8
2019,KH,M,U,2019,73.5
