Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,Value
2015,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,AGG_2_3,PT,32.0
2016,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,AGG_2_3,PT,85.8
2017,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,AGG_2_3,PT,85.0
2018,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,AGG_2_3,PT,86.0
2019,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,AGG_2_3,PT,86.8
2020,៤.គ.៤ ភាគរយគូ្រមធ្យមសិក្សាដែលមានគុណវុឌ្ឍិស្របតាមស្តង់ដាជាតិ,,AGG_2_3,PT,87.5
