Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2014,១.២.២ សមាមាត្រ កុមារ ដែលរស់នៅក្នុងភាពក្រីក្រ  គ្រប់សមាសភាព ផ្អែកតាមនិយមន័យរបស់ជាតិ,,Y0T17,PT,50.7
2020,១.២.២ សមាមាត្រ កុមារ ដែលរស់នៅក្នុងភាពក្រីក្រ  គ្រប់សមាសភាព ផ្អែកតាមនិយមន័យរបស់ជាតិ,,Y0T17,PT,42.3
