Year,Value,SERIES
1993,5.0,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ
1998,3.93,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ
2003,7.5,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ
2008,15.1,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ
2013,17.58,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ
2018,16.87,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ
1993,0.0,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ
1998,6.0,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ
2003,6.6,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ
2008,8.0,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ
2013,20.54,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ
2018,16.36,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ
