Year,Value,UNIT_MEASURE,SERIES
1998,5.3,LIVE_BIRTHS_PER_WOMAN,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2000,4.0,LIVE_BIRTHS_PER_WOMAN,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2004,3.34,LIVE_BIRTHS_PER_WOMAN,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2005,3.4,LIVE_BIRTHS_PER_WOMAN,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2008,3.1,LIVE_BIRTHS_PER_WOMAN,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2010,3.0,LIVE_BIRTHS_PER_WOMAN,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2013,2.37,LIVE_BIRTHS_PER_WOMAN,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2014,2.7,LIVE_BIRTHS_PER_WOMAN,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
2019,2.51,LIVE_BIRTHS_PER_WOMAN,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់)
