Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,៤.ក.៣ ភាគរយនៃសាលាបឋមសិក្សា និងមធ្យមសិក្សាដែលមានជម្រាលសម្រាប់សិស្សពិការ,,PT,0.0
2016,៤.ក.៣ ភាគរយនៃសាលាបឋមសិក្សា និងមធ្យមសិក្សាដែលមានជម្រាលសម្រាប់សិស្សពិការ,,PT,1.3
2017,៤.ក.៣ ភាគរយនៃសាលាបឋមសិក្សា និងមធ្យមសិក្សាដែលមានជម្រាលសម្រាប់សិស្សពិការ,,PT,2.7
2018,៤.ក.៣ ភាគរយនៃសាលាបឋមសិក្សា និងមធ្យមសិក្សាដែលមានជម្រាលសម្រាប់សិស្សពិការ,,PT,4.0
2019,៤.ក.៣ ភាគរយនៃសាលាបឋមសិក្សា និងមធ្យមសិក្សាដែលមានជម្រាលសម្រាប់សិស្សពិការ,,PT,31.4
2020,៤.ក.៣ ភាគរយនៃសាលាបឋមសិក្សា និងមធ្យមសិក្សាដែលមានជម្រាលសម្រាប់សិស្សពិការ,,PT,33.4
