Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2015,៣.៨.២ ភាគរយនៃស្ត្រីវ័យ ជំទង់អាយុ១៥-១៩ឆ្នាំ ដែលមានគភ៌,,F,Y15T19,PT,11.5
2020,៣.៨.២ ភាគរយនៃស្ត្រីវ័យ ជំទង់អាយុ១៥-១៩ឆ្នាំ ដែលមានគភ៌,,F,Y15T19,PT,8.0
