Value,en,km,Disaggregation combinations using this value,Number of indicators
R,Rural,ជនបទ,22,15
REMOTE,Remote Area,តំបន់ដាច់ស្រយាល,6,2
U,Urban,ទីប្រជុំជន,22,15
