Value,en,km,Disaggregation combinations using this value,Number of indicators
AGG_2_3,Secondary education (lower and upper secondary education),AGG_2_3,1,1
ISCED11_02,Pre-primary education,ISCED11_02,1,1
ISCED11_1,Primary education,ISCED11_1,1,1
ISCED11_3,Upper secondary education,ISCED11_3,28,1
