Value,en,km,Disaggregation combinations using this value,Number of indicators
Q1,Quintile 1 (poorest),Q1,5,4
Q2,Quintile 2,Q2,5,4
Q3,Quintile 3,Q3,5,4
Q4,Quintile 4,Q4,5,4
Q5,Quintile 5 (richest),Q5,5,4
