Value,Disaggregation combinations using this value,Number of indicators
KH,97,13
KH01,18,12
KH02,13,7
KH03,18,12
KH04,18,12
KH05,18,12
KH06,18,12
KH07,13,7
KH08,18,12
KH09,18,12
KH10,18,12
KH11,13,7
KH12,19,13
KH13,13,7
KH14,18,12
KH15,18,12
KH16,13,7
KH17,18,12
KH18,13,7
KH19,13,7
KH20,18,12
KH21,18,12
KH22,18,12
KH23,13,7
KH24,13,7
KH25,7,3
KH_AGG_KH02_KH24,6,6
KH_AGG_KH07_KH18_KH23,6,6
KH_AGG_KH07_KH23,6,6
KH_AGG_KH10_KH13_KH19,6,6
KH_AGG_KH11_KH16,6,6
KH_AGG_KH13_KH19,6,6
KH_AGG_KH22_KH17,6,6
KH_KH09_KH18,6,6
