Year,SERIES,Reference area,UNIT_MEASURE,Value
2016,15.7.1 Number of cases of illegal poaching and trafficking of flora and fauna decreased,Cambodia,Number,1600
2017,15.7.1 Number of cases of illegal poaching and trafficking of flora and fauna decreased,Cambodia,Number,1550
2018,15.7.1 Number of cases of illegal poaching and trafficking of flora and fauna decreased,Cambodia,Number,1500
2019,15.7.1 Number of cases of illegal poaching and trafficking of flora and fauna decreased,Cambodia,Number,1450
2020,15.7.1 Number of cases of illegal poaching and trafficking of flora and fauna decreased,Cambodia,Number,1400
