Year,Reference area,Sex,Degree of urbanisation,Time period details,Value
2004,Cambodia,Female,,2019-2020,20.0
2005,Cambodia,Female,,2019-2020,18.5
2006,Cambodia,Female,,2019-2020,35.2
2007,Cambodia,Female,,2019-2020,44.2
2008,Cambodia,Female,,2019-2020,45.9
2009,Cambodia,Female,,2019-2020,47.3
2010,Cambodia,Female,,2019-2020,44.3
2011,Cambodia,Female,,2019-2020,41.6
2012,Cambodia,Female,,2019-2020,40.4
2013,Cambodia,Female,,2019-2020,40.0
2014,Cambodia,Female,,2019-2020,41.8
2015,Cambodia,Female,,2019-2020,41.3
2016,Cambodia,Female,,2019-2020,46.0
2017,Cambodia,Female,,2019-2020,49.0
2018,Cambodia,Female,,2019-2020,50.2
2019,Cambodia,Female,,2019-2020,49.5
2004,Cambodia,Female,Urban,2019-2020,37.3
2005,Cambodia,Female,Urban,2019-2020,33.8
2006,Cambodia,Female,Urban,2019-2020,70.1
2007,Cambodia,Female,Urban,2019-2020,79.8
2008,Cambodia,Female,Urban,2019-2020,73.1
2009,Cambodia,Female,Urban,2019-2020,64.8
2010,Cambodia,Female,Urban,2019-2020,55.9
2011,Cambodia,Female,Urban,2019-2020,50.3
2012,Cambodia,Female,Urban,2019-2020,50.9
2013,Cambodia,Female,Urban,2019-2020,50.0
2014,Cambodia,Female,Urban,2019-2020,49.7
2015,Cambodia,Female,Urban,2019-2020,44.7
2016,Cambodia,Female,Urban,2019-2020,46.4
2017,Cambodia,Female,Urban,2019-2020,47.8
2018,Cambodia,Female,Urban,2019-2020,48.3
2019,Cambodia,Female,Urban,2019-2020,48.2
2004,Cambodia,Female,Rural,2019-2020,15.6
2005,Cambodia,Female,Rural,2019-2020,15.2
2006,Cambodia,Female,Rural,2019-2020,29.5
2007,Cambodia,Female,Rural,2019-2020,38.4
2008,Cambodia,Female,Rural,2019-2020,41.5
2009,Cambodia,Female,Rural,2019-2020,43.7
2010,Cambodia,Female,Rural,2019-2020,41.4
2011,Cambodia,Female,Rural,2019-2020,39.5
2012,Cambodia,Female,Rural,2019-2020,37.7
2013,Cambodia,Female,Rural,2019-2020,37.6
2014,Cambodia,Female,Rural,2019-2020,39.8
2015,Cambodia,Female,Rural,2019-2020,40.4
2016,Cambodia,Female,Rural,2019-2020,45.9
2017,Cambodia,Female,Rural,2019-2020,49.3
2018,Cambodia,Female,Rural,2019-2020,50.7
2019,Cambodia,Female,Rural,2019-2020,49.9
2004,Cambodia,Female,Remote Area,2008-2009,14.9
2005,Cambodia,Female,Remote Area,2008-2009,10.6
2006,Cambodia,Female,Remote Area,2008-2009,11.8
2007,Cambodia,Female,Remote Area,2008-2009,16.8
2008,Cambodia,Female,Remote Area,2008-2009,20.2
2005,Cambodia,Male,,2019-2020,20.0
2006,Cambodia,Male,,2019-2020,48.8
2007,Cambodia,Male,,2019-2020,52.9
2008,Cambodia,Male,,2019-2020,52.1
2009,Cambodia,Male,,2019-2020,50.0
2010,Cambodia,Male,,2019-2020,44.6
2011,Cambodia,Male,,2019-2020,42.6
2012,Cambodia,Male,,2019-2020,42.2
2013,Cambodia,Male,,2019-2020,38.2
2014,Cambodia,Male,,2019-2020,38.9
2015,Cambodia,Male,,2019-2020,37.3
2016,Cambodia,Male,,2019-2020,39.4
2017,Cambodia,Male,,2019-2020,40.4
