Year,Reference area,Sex,Degree of urbanisation,Time period details,Value
2018,Cambodia,Male,,2019-2020,40.7
2019,Cambodia,Male,,2019-2020,39.7
2005,Cambodia,Male,Urban,2019-2020,33.4
2006,Cambodia,Male,Urban,2019-2020,81.4
2007,Cambodia,Male,Urban,2019-2020,86.6
2008,Cambodia,Male,Urban,2019-2020,85.1
2009,Cambodia,Male,Urban,2019-2020,71.5
2010,Cambodia,Male,Urban,2019-2020,66.0
2011,Cambodia,Male,Urban,2019-2020,54.8
2012,Cambodia,Male,Urban,2019-2020,52.1
2013,Cambodia,Male,Urban,2019-2020,49.5
2014,Cambodia,Male,Urban,2019-2020,49.5
2015,Cambodia,Male,Urban,2019-2020,44.4
2016,Cambodia,Male,Urban,2019-2020,43.7
2017,Cambodia,Male,Urban,2019-2020,43.4
2018,Cambodia,Male,Urban,2019-2020,43.3
2019,Cambodia,Male,Urban,2019-2020,43.8
2005,Cambodia,Male,Rural,2019-2020,17.1
2006,Cambodia,Male,Rural,2019-2020,43.2
2007,Cambodia,Male,Rural,2019-2020,47.4
2008,Cambodia,Male,Rural,2019-2020,47.1
2009,Cambodia,Male,Rural,2019-2020,45.7
2010,Cambodia,Male,Rural,2019-2020,40.2
2011,Cambodia,Male,Rural,2019-2020,39.8
2012,Cambodia,Male,Rural,2019-2020,37.8
2013,Cambodia,Male,Rural,2019-2020,35.6
2014,Cambodia,Male,Rural,2019-2020,36.3
2015,Cambodia,Male,Rural,2019-2020,35.6
2016,Cambodia,Male,Rural,2019-2020,38.3
2017,Cambodia,Male,Rural,2019-2020,39.6
2018,Cambodia,Male,Rural,2019-2020,40.0
2019,Cambodia,Male,Rural,2019-2020,38.7
2005,Cambodia,Male,Remote Area,2008-2009,13.7
2006,Cambodia,Male,Remote Area,2008-2009,16.1
2007,Cambodia,Male,Remote Area,2008-2009,19.6
2008,Cambodia,Male,Remote Area,2008-2009,24.0
2004,Cambodia,,,2019-2020,20.6
2005,Cambodia,,,2019-2020,19.3
2006,Cambodia,,,2019-2020,41.9
2007,Cambodia,,,2019-2020,48.7
2008,Cambodia,,,2019-2020,49.0
2009,Cambodia,,,2019-2020,48.7
2010,Cambodia,,,2019-2020,44.4
2011,Cambodia,,,2019-2020,42.1
2012,Cambodia,,,2019-2020,40.6
2013,Cambodia,,,2019-2020,39.1
2014,Cambodia,,,2019-2020,40.3
2015,Cambodia,,,2019-2020,39.2
2016,Cambodia,,,2019-2020,42.6
2017,Cambodia,,,2019-2020,44.5
2018,Cambodia,,,2019-2020,45.3
2019,Cambodia,,,2019-2020,44.5
2004,Cambodia,,Urban,2019-2020,36.7
2005,Cambodia,,Urban,2019-2020,33.6
2006,Cambodia,,Urban,2019-2020,75.9
2007,Cambodia,,Urban,2019-2020,83.3
2008,Cambodia,,Urban,2019-2020,79.0
2009,Cambodia,,Urban,2019-2020,68.2
2010,Cambodia,,Urban,2019-2020,60.8
2011,Cambodia,,Urban,2019-2020,52.6
2012,Cambodia,,Urban,2019-2020,51.5
2013,Cambodia,,Urban,2019-2020,49.7
2014,Cambodia,,Urban,2019-2020,49.6
2015,Cambodia,,Urban,2019-2020,44.5
2016,Cambodia,,Urban,2019-2020,45.0
2017,Cambodia,,Urban,2019-2020,45.6
2018,Cambodia,,Urban,2019-2020,45.8
2019,Cambodia,,Urban,2019-2020,46.0
2004,Cambodia,,Rural,2019-2020,16.7
2005,Cambodia,,Rural,2019-2020,16.2
2006,Cambodia,,Rural,2019-2020,36.2
2007,Cambodia,,Rural,2019-2020,43.0
2008,Cambodia,,Rural,2019-2020,44.3
2009,Cambodia,,Rural,2019-2020,44.7
2010,Cambodia,,Rural,2019-2020,40.8
2011,Cambodia,,Rural,2019-2020,39.7
2012,Cambodia,,Rural,2019-2020,37.7
2013,Cambodia,,Rural,2019-2020,36.6
2014,Cambodia,,Rural,2019-2020,38.0
2015,Cambodia,,Rural,2019-2020,37.9
2016,Cambodia,,Rural,2019-2020,42.0
2017,Cambodia,,Rural,2019-2020,44.3
2018,Cambodia,,Rural,2019-2020,45.1
2019,Cambodia,,Rural,2019-2020,44.1
2004,Cambodia,,Remote Area,2008-2009,15.1
2005,Cambodia,,Remote Area,2008-2009,12.1
2006,Cambodia,,Remote Area,2008-2009,14.0
2007,Cambodia,,Remote Area,2008-2009,18.3
2008,Cambodia,,Remote Area,2008-2009,22.0
2009,Banteay Meanchey,Female,,2019-2020,47.9
2010,Banteay Meanchey,Female,,2019-2020,51.4
2011,Banteay Meanchey,Female,,2019-2020,37.3
2012,Banteay Meanchey,Female,,2019-2020,34.5
2013,Banteay Meanchey,Female,,2019-2020,32.6
2014,Banteay Meanchey,Female,,2019-2020,34.5
2015,Banteay Meanchey,Female,,2019-2020,33.1
2016,Banteay Meanchey,Female,,2019-2020,36.7
2017,Banteay Meanchey,Female,,2019-2020,38.2
2018,Banteay Meanchey,Female,,2019-2020,41.3
2019,Banteay Meanchey,Female,,2019-2020,41.4
2009,Banteay Meanchey,Male,,2019-2020,46.0
2010,Banteay Meanchey,Male,,2019-2020,50.4
2011,Banteay Meanchey,Male,,2019-2020,34.2
2012,Banteay Meanchey,Male,,2019-2020,29.8
2013,Banteay Meanchey,Male,,2019-2020,28.5
2014,Banteay Meanchey,Male,,2019-2020,28.9
2015,Banteay Meanchey,Male,,2019-2020,28.8
2016,Banteay Meanchey,Male,,2019-2020,31.8
2017,Banteay Meanchey,Male,,2019-2020,31.3
2018,Banteay Meanchey,Male,,2019-2020,31.9
2019,Banteay Meanchey,Male,,2019-2020,31.6
2009,Banteay Meanchey,,,2019-2020,46.9
2010,Banteay Meanchey,,,2019-2020,50.9
2011,Banteay Meanchey,,,2019-2020,35.7
2012,Banteay Meanchey,,,2019-2020,32.1
2013,Banteay Meanchey,,,2019-2020,30.5
2014,Banteay Meanchey,,,2019-2020,31.6
2015,Banteay Meanchey,,,2019-2020,30.9
2016,Banteay Meanchey,,,2019-2020,34.2
2017,Banteay Meanchey,,,2019-2020,34.6
2018,Banteay Meanchey,,,2019-2020,36.4
2019,Banteay Meanchey,,,2019-2020,36.3
2009,Battambang,Female,,2019-2020,46.5
2010,Battambang,Female,,2019-2020,41.6
2011,Battambang,Female,,2019-2020,38.6
2012,Battambang,Female,,2019-2020,35.6
2013,Battambang,Female,,2019-2020,34.9
2014,Battambang,Female,,2019-2020,35.4
2015,Battambang,Female,,2019-2020,34.6
2016,Battambang,Female,,2019-2020,36.3
2017,Battambang,Female,,2019-2020,38.6
2018,Battambang,Female,,2019-2020,40.6
2019,Battambang,Female,,2019-2020,41.4
2009,Battambang,Male,,2019-2020,44.0
2010,Battambang,Male,,2019-2020,43.0
2011,Battambang,Male,,2019-2020,33.7
2012,Battambang,Male,,2019-2020,30.3
2013,Battambang,Male,,2019-2020,28.3
2014,Battambang,Male,,2019-2020,28.3
2015,Battambang,Male,,2019-2020,27.4
2016,Battambang,Male,,2019-2020,28.5
2017,Battambang,Male,,2019-2020,30.3
2018,Battambang,Male,,2019-2020,32.2
2019,Battambang,Male,,2019-2020,30.8
2009,Battambang,,,2019-2020,45.2
2010,Battambang,,,2019-2020,42.2
2011,Battambang,,,2019-2020,36.1
2012,Battambang,,,2019-2020,32.9
2013,Battambang,,,2019-2020,31.5
2014,Battambang,,,2019-2020,31.8
2015,Battambang,,,2019-2020,30.9
2016,Battambang,,,2019-2020,32.3
2017,Battambang,,,2019-2020,34.3
2018,Battambang,,,2019-2020,36.3
2019,Battambang,,,2019-2020,35.9
2009,Kampong Cham,Female,,2019-2020,40.8
2010,Kampong Cham,Female,,2019-2020,34.6
2011,Kampong Cham,Female,,2019-2020,38.4
2012,Kampong Cham,Female,,2019-2020,37.9
2013,Kampong Cham,Female,,2019-2020,39.8
2014,Kampong Cham,Female,,2019-2020,47.0
2015,Kampong Cham,Female,,2019-2020,45.5
2016,Kampong Cham,Female,,2019-2020,51.4
2017,Kampong Cham,Female,,2019-2020,54.3
2018,Kampong Cham,Female,,2019-2020,57.1
2019,Kampong Cham,Female,,2019-2020,56.1
2009,Kampong Cham,Male,,2019-2020,40.2
2010,Kampong Cham,Male,,2019-2020,38.7
2011,Kampong Cham,Male,,2019-2020,36.4
2012,Kampong Cham,Male,,2019-2020,35.1
2013,Kampong Cham,Male,,2019-2020,36.2
2014,Kampong Cham,Male,,2019-2020,40.8
2015,Kampong Cham,Male,,2019-2020,38.5
2016,Kampong Cham,Male,,2019-2020,40.5
2017,Kampong Cham,Male,,2019-2020,41.1
2018,Kampong Cham,Male,,2019-2020,42.5
2019,Kampong Cham,Male,,2019-2020,40.4
2009,Kampong Cham,,,2019-2020,40.5
2010,Kampong Cham,,,2019-2020,36.6
2011,Kampong Cham,,,2019-2020,37.4
2012,Kampong Cham,,,2019-2020,36.5
2013,Kampong Cham,,,2019-2020,37.9
2014,Kampong Cham,,,2019-2020,43.8
2015,Kampong Cham,,,2019-2020,41.9
2016,Kampong Cham,,,2019-2020,45.8
2017,Kampong Cham,,,2019-2020,47.5
2018,Kampong Cham,,,2019-2020,49.5
2019,Kampong Cham,,,2019-2020,47.9
2009,Kampong Chhnang,Female,,2019-2020,51.3
2010,Kampong Chhnang,Female,,2019-2020,52.8
2011,Kampong Chhnang,Female,,2019-2020,41.3
2012,Kampong Chhnang,Female,,2019-2020,40.7
2013,Kampong Chhnang,Female,,2019-2020,41.6
2014,Kampong Chhnang,Female,,2019-2020,45.8
2015,Kampong Chhnang,Female,,2019-2020,47.7
2016,Kampong Chhnang,Female,,2019-2020,53.7
2017,Kampong Chhnang,Female,,2019-2020,57.5
2018,Kampong Chhnang,Female,,2019-2020,57.1
2019,Kampong Chhnang,Female,,2019-2020,54.5
2009,Kampong Chhnang,Male,,2019-2020,51.6
2010,Kampong Chhnang,Male,,2019-2020,49.2
2011,Kampong Chhnang,Male,,2019-2020,40.1
2012,Kampong Chhnang,Male,,2019-2020,36.6
2013,Kampong Chhnang,Male,,2019-2020,36.0
2014,Kampong Chhnang,Male,,2019-2020,37.7
2015,Kampong Chhnang,Male,,2019-2020,40.1
2016,Kampong Chhnang,Male,,2019-2020,41.1
2017,Kampong Chhnang,Male,,2019-2020,44.4
2018,Kampong Chhnang,Male,,2019-2020,41.2
2019,Kampong Chhnang,Male,,2019-2020,41.0
2009,Kampong Chhnang,,,2019-2020,51.5
2010,Kampong Chhnang,,,2019-2020,51.0
2011,Kampong Chhnang,,,2019-2020,40.7
2012,Kampong Chhnang,,,2019-2020,38.6
2013,Kampong Chhnang,,,2019-2020,38.8
2014,Kampong Chhnang,,,2019-2020,41.6
2015,Kampong Chhnang,,,2019-2020,43.8
2016,Kampong Chhnang,,,2019-2020,47.2
2017,Kampong Chhnang,,,2019-2020,50.7
2018,Kampong Chhnang,,,2019-2020,48.9
2019,Kampong Chhnang,,,2019-2020,47.5
2009,Kampong Speu,Female,,2019-2020,38.0
2010,Kampong Speu,Female,,2019-2020,34.7
2011,Kampong Speu,Female,,2019-2020,30.5
2012,Kampong Speu,Female,,2019-2020,30.0
2013,Kampong Speu,Female,,2019-2020,32.7
2014,Kampong Speu,Female,,2019-2020,35.7
2015,Kampong Speu,Female,,2019-2020,37.5
2016,Kampong Speu,Female,,2019-2020,44.6
2017,Kampong Speu,Female,,2019-2020,49.7
2018,Kampong Speu,Female,,2019-2020,47.2
2019,Kampong Speu,Female,,2019-2020,46.1
2009,Kampong Speu,Male,,2019-2020,46.5
2010,Kampong Speu,Male,,2019-2020,47.1
2011,Kampong Speu,Male,,2019-2020,40.3
2012,Kampong Speu,Male,,2019-2020,36.4
2013,Kampong Speu,Male,,2019-2020,37.0
2014,Kampong Speu,Male,,2019-2020,39.1
2015,Kampong Speu,Male,,2019-2020,37.8
2016,Kampong Speu,Male,,2019-2020,39.4
2017,Kampong Speu,Male,,2019-2020,42.9
2018,Kampong Speu,Male,,2019-2020,40.5
2019,Kampong Speu,Male,,2019-2020,37.5
2009,Kampong Speu,,,2019-2020,42.4
2010,Kampong Speu,,,2019-2020,40.9
2011,Kampong Speu,,,2019-2020,35.6
2012,Kampong Speu,,,2019-2020,33.3
2013,Kampong Speu,,,2019-2020,34.9
2014,Kampong Speu,,,2019-2020,37.5
2015,Kampong Speu,,,2019-2020,37.7
2016,Kampong Speu,,,2019-2020,41.9
2017,Kampong Speu,,,2019-2020,46.2
2018,Kampong Speu,,,2019-2020,43.7
2019,Kampong Speu,,,2019-2020,41.6
2009,Kampong Thom,Female,,2019-2020,43.0
2010,Kampong Thom,Female,,2019-2020,39.2
2011,Kampong Thom,Female,,2019-2020,39.1
2012,Kampong Thom,Female,,2019-2020,36.2
2013,Kampong Thom,Female,,2019-2020,39.0
2014,Kampong Thom,Female,,2019-2020,38.9
2015,Kampong Thom,Female,,2019-2020,38.1
2016,Kampong Thom,Female,,2019-2020,45.3
2017,Kampong Thom,Female,,2019-2020,48.5
2018,Kampong Thom,Female,,2019-2020,52.6
2019,Kampong Thom,Female,,2019-2020,50.7
2009,Kampong Thom,Male,,2019-2020,40.6
2010,Kampong Thom,Male,,2019-2020,45.3
2011,Kampong Thom,Male,,2019-2020,35.8
2012,Kampong Thom,Male,,2019-2020,33.6
2013,Kampong Thom,Male,,2019-2020,31.8
2014,Kampong Thom,Male,,2019-2020,31.7
2015,Kampong Thom,Male,,2019-2020,30.5
2016,Kampong Thom,Male,,2019-2020,34.7
2017,Kampong Thom,Male,,2019-2020,36.6
2018,Kampong Thom,Male,,2019-2020,38.8
2019,Kampong Thom,Male,,2019-2020,38.4
2009,Kampong Thom,,,2019-2020,41.8
2010,Kampong Thom,,,2019-2020,42.1
2011,Kampong Thom,,,2019-2020,37.4
2012,Kampong Thom,,,2019-2020,34.9
2013,Kampong Thom,,,2019-2020,35.2
2014,Kampong Thom,,,2019-2020,35.2
2015,Kampong Thom,,,2019-2020,34.2
2016,Kampong Thom,,,2019-2020,39.8
2017,Kampong Thom,,,2019-2020,42.3
2018,Kampong Thom,,,2019-2020,45.4
2019,Kampong Thom,,,2019-2020,44.3
2009,Kampot,Female,,2019-2020,54.5
2010,Kampot,Female,,2019-2020,51.8
2011,Kampot,Female,,2019-2020,48.6
2012,Kampot,Female,,2019-2020,43.8
2013,Kampot,Female,,2019-2020,44.4
2014,Kampot,Female,,2019-2020,47.7
2015,Kampot,Female,,2019-2020,46.9
2016,Kampot,Female,,2019-2020,52.5
2017,Kampot,Female,,2019-2020,55.3
2018,Kampot,Female,,2019-2020,53.5
2019,Kampot,Female,,2019-2020,51.2
2009,Kampot,Male,,2019-2020,56.3
2010,Kampot,Male,,2019-2020,16.9
2011,Kampot,Male,,2019-2020,48.0
2012,Kampot,Male,,2019-2020,45.8
2013,Kampot,Male,,2019-2020,42.9
2014,Kampot,Male,,2019-2020,45.7
2015,Kampot,Male,,2019-2020,44.9
2016,Kampot,Male,,2019-2020,48.4
2017,Kampot,Male,,2019-2020,48.1
2018,Kampot,Male,,2019-2020,44.7
2019,Kampot,Male,,2019-2020,40.8
2009,Kampot,,,2019-2020,55.4
2010,Kampot,,,2019-2020,24.6
2011,Kampot,,,2019-2020,48.3
2012,Kampot,,,2019-2020,44.8
2013,Kampot,,,2019-2020,43.6
2014,Kampot,,,2019-2020,46.7
2015,Kampot,,,2019-2020,45.8
2016,Kampot,,,2019-2020,50.4
2017,Kampot,,,2019-2020,51.6
2018,Kampot,,,2019-2020,48.9
2019,Kampot,,,2019-2020,45.8
2009,Kandal,Female,,2019-2020,55.6
2010,Kandal,Female,,2019-2020,58.1
2011,Kandal,Female,,2019-2020,50.0
2012,Kandal,Female,,2019-2020,46.8
2013,Kandal,Female,,2019-2020,45.6
2014,Kandal,Female,,2019-2020,46.1
2015,Kandal,Female,,2019-2020,45.9
2016,Kandal,Female,,2019-2020,51.0
2017,Kandal,Female,,2019-2020,53.1
2018,Kandal,Female,,2019-2020,53.6
2019,Kandal,Female,,2019-2020,52.8
2009,Kandal,Male,,2019-2020,59.1
2010,Kandal,Male,,2019-2020,61.2
2011,Kandal,Male,,2019-2020,51.4
2012,Kandal,Male,,2019-2020,56.2
2013,Kandal,Male,,2019-2020,45.2
2014,Kandal,Male,,2019-2020,43.5
2015,Kandal,Male,,2019-2020,40.1
2016,Kandal,Male,,2019-2020,43.0
2017,Kandal,Male,,2019-2020,41.9
2018,Kandal,Male,,2019-2020,41.1
2019,Kandal,Male,,2019-2020,41.6
2009,Kandal,,,2019-2020,57.4
2010,Kandal,,,2019-2020,59.7
2011,Kandal,,,2019-2020,50.7
2012,Kandal,,,2019-2020,51.3
2013,Kandal,,,2019-2020,45.4
2014,Kandal,,,2019-2020,44.8
2015,Kandal,,,2019-2020,42.9
2016,Kandal,,,2019-2020,46.8
2017,Kandal,,,2019-2020,47.3
2018,Kandal,,,2019-2020,47.1
2019,Kandal,,,2019-2020,47.0
2009,Kep,Female,,2019-2020,54.9
2010,Kep,Female,,2019-2020,55.8
2011,Kep,Female,,2019-2020,48.4
2012,Kep,Female,,2019-2020,46.1
2013,Kep,Female,,2019-2020,40.2
2014,Kep,Female,,2019-2020,36.6
2015,Kep,Female,,2019-2020,41.0
2016,Kep,Female,,2019-2020,42.0
2017,Kep,Female,,2019-2020,39.1
2018,Kep,Female,,2019-2020,34.5
2019,Kep,Female,,2019-2020,31.2
2009,Kep,Male,,2019-2020,50.8
2010,Kep,Male,,2019-2020,47.6
2011,Kep,Male,,2019-2020,41.4
2012,Kep,Male,,2019-2020,36.7
2013,Kep,Male,,2019-2020,37.2
2014,Kep,Male,,2019-2020,35.6
2015,Kep,Male,,2019-2020,34.7
2016,Kep,Male,,2019-2020,34.2
2017,Kep,Male,,2019-2020,33.5
2018,Kep,Male,,2019-2020,32.9
2019,Kep,Male,,2019-2020,25.1
2009,Kep,,,2019-2020,52.8
2010,Kep,,,2019-2020,51.4
2011,Kep,,,2019-2020,44.8
2012,Kep,,,2019-2020,41.2
2013,Kep,,,2019-2020,38.6
2014,Kep,,,2019-2020,36.1
2015,Kep,,,2019-2020,37.7
2016,Kep,,,2019-2020,37.9
2017,Kep,,,2019-2020,36.2
2018,Kep,,,2019-2020,33.6
2019,Kep,,,2019-2020,28.0
2009,Koh Kong,Female,,2019-2020,40.4
2010,Koh Kong,Female,,2019-2020,44.2
2011,Koh Kong,Female,,2019-2020,36.7
2012,Koh Kong,Female,,2019-2020,35.7
2013,Koh Kong,Female,,2019-2020,34.9
2014,Koh Kong,Female,,2019-2020,32.7
2015,Koh Kong,Female,,2019-2020,30.6
2016,Koh Kong,Female,,2019-2020,30.9
2017,Koh Kong,Female,,2019-2020,35.0
2018,Koh Kong,Female,,2019-2020,37.3
2019,Koh Kong,Female,,2019-2020,36.5
2009,Koh Kong,Male,,2019-2020,44.0
2010,Koh Kong,Male,,2019-2020,52.8
2011,Koh Kong,Male,,2019-2020,41.3
2012,Koh Kong,Male,,2019-2020,38.9
2013,Koh Kong,Male,,2019-2020,35.4
2014,Koh Kong,Male,,2019-2020,36.5
2015,Koh Kong,Male,,2019-2020,34.6
2016,Koh Kong,Male,,2019-2020,35.7
2017,Koh Kong,Male,,2019-2020,34.0
2018,Koh Kong,Male,,2019-2020,35.1
2019,Koh Kong,Male,,2019-2020,31.9
2009,Koh Kong,,,2019-2020,42.2
2010,Koh Kong,,,2019-2020,48.4
2011,Koh Kong,,,2019-2020,39.1
2012,Koh Kong,,,2019-2020,37.3
2013,Koh Kong,,,2019-2020,35.2
2014,Koh Kong,,,2019-2020,34.6
2015,Koh Kong,,,2019-2020,32.6
2016,Koh Kong,,,2019-2020,33.4
2017,Koh Kong,,,2019-2020,34.5
2018,Koh Kong,,,2019-2020,36.2
2019,Koh Kong,,,2019-2020,34.2
2009,Kratie,Female,,2019-2020,39.6
2010,Kratie,Female,,2019-2020,46.5
2011,Kratie,Female,,2019-2020,33.8
2012,Kratie,Female,,2019-2020,34.2
2013,Kratie,Female,,2019-2020,33.1
2014,Kratie,Female,,2019-2020,32.0
2015,Kratie,Female,,2019-2020,31.8
2016,Kratie,Female,,2019-2020,37.4
2017,Kratie,Female,,2019-2020,39.5
2018,Kratie,Female,,2019-2020,37.3
2019,Kratie,Female,,2019-2020,37.4
2009,Kratie,Male,,2019-2020,37.7
2010,Kratie,Male,,2019-2020,42.9
2011,Kratie,Male,,2019-2020,32.7
2012,Kratie,Male,,2019-2020,30.9
2013,Kratie,Male,,2019-2020,29.5
2014,Kratie,Male,,2019-2020,27.9
2015,Kratie,Male,,2019-2020,28.0
2016,Kratie,Male,,2019-2020,30.4
2017,Kratie,Male,,2019-2020,30.4
2018,Kratie,Male,,2019-2020,31.5
2019,Kratie,Male,,2019-2020,28.5
2009,Kratie,,,2019-2020,38.6
2010,Kratie,,,2019-2020,44.6
2011,Kratie,,,2019-2020,33.3
2012,Kratie,,,2019-2020,32.5
2013,Kratie,,,2019-2020,31.3
2014,Kratie,,,2019-2020,29.9
2015,Kratie,,,2019-2020,29.9
2016,Kratie,,,2019-2020,33.8
2017,Kratie,,,2019-2020,34.8
2018,Kratie,,,2019-2020,34.3
2019,Kratie,,,2019-2020,32.8
2009,Mondul Kiri,Female,,2019-2020,22.0
2010,Mondul Kiri,Female,,2019-2020,31.8
2011,Mondul Kiri,Female,,2019-2020,26.2
2012,Mondul Kiri,Female,,2019-2020,23.7
2013,Mondul Kiri,Female,,2019-2020,28.4
2014,Mondul Kiri,Female,,2019-2020,31.4
2015,Mondul Kiri,Female,,2019-2020,26.9
2016,Mondul Kiri,Female,,2019-2020,38.4
2017,Mondul Kiri,Female,,2019-2020,35.3
2018,Mondul Kiri,Female,,2019-2020,41.0
2019,Mondul Kiri,Female,,2019-2020,42.7
2009,Mondul Kiri,Male,,2019-2020,26.9
2010,Mondul Kiri,Male,,2019-2020,47.9
2011,Mondul Kiri,Male,,2019-2020,29.7
2012,Mondul Kiri,Male,,2019-2020,28.0
2013,Mondul Kiri,Male,,2019-2020,31.1
2014,Mondul Kiri,Male,,2019-2020,27.8
2015,Mondul Kiri,Male,,2019-2020,26.5
2016,Mondul Kiri,Male,,2019-2020,31.3
2017,Mondul Kiri,Male,,2019-2020,27.9
2018,Mondul Kiri,Male,,2019-2020,33.8
2019,Mondul Kiri,Male,,2019-2020,32.7
2009,Mondul Kiri,,,2019-2020,24.5
2010,Mondul Kiri,,,2019-2020,39.5
2011,Mondul Kiri,,,2019-2020,28.0
2012,Mondul Kiri,,,2019-2020,25.9
2013,Mondul Kiri,,,2019-2020,29.8
2014,Mondul Kiri,,,2019-2020,29.6
2015,Mondul Kiri,,,2019-2020,26.7
2016,Mondul Kiri,,,2019-2020,34.8
2017,Mondul Kiri,,,2019-2020,31.5
2018,Mondul Kiri,,,2019-2020,37.3
2019,Mondul Kiri,,,2019-2020,37.6
2009,Oddar Meanchey,Female,,2019-2020,35.8
2010,Oddar Meanchey,Female,,2019-2020,35.4
2011,Oddar Meanchey,Female,,2019-2020,30.7
2012,Oddar Meanchey,Female,,2019-2020,24.7
2013,Oddar Meanchey,Female,,2019-2020,27.7
2014,Oddar Meanchey,Female,,2019-2020,31.7
2015,Oddar Meanchey,Female,,2019-2020,30.8
2016,Oddar Meanchey,Female,,2019-2020,34.5
2017,Oddar Meanchey,Female,,2019-2020,36.1
2018,Oddar Meanchey,Female,,2019-2020,37.0
2019,Oddar Meanchey,Female,,2019-2020,37.0
2009,Oddar Meanchey,Male,,2019-2020,34.4
2010,Oddar Meanchey,Male,,2019-2020,38.5
2011,Oddar Meanchey,Male,,2019-2020,29.2
2012,Oddar Meanchey,Male,,2019-2020,26.4
2013,Oddar Meanchey,Male,,2019-2020,24.6
2014,Oddar Meanchey,Male,,2019-2020,27.2
2015,Oddar Meanchey,Male,,2019-2020,28.5
2016,Oddar Meanchey,Male,,2019-2020,28.7
2017,Oddar Meanchey,Male,,2019-2020,29.3
2018,Oddar Meanchey,Male,,2019-2020,32.8
2019,Oddar Meanchey,Male,,2019-2020,30.9
2009,Oddar Meanchey,,,2019-2020,35.1
2010,Oddar Meanchey,,,2019-2020,37.0
2011,Oddar Meanchey,,,2019-2020,29.9
2012,Oddar Meanchey,,,2019-2020,25.6
2013,Oddar Meanchey,,,2019-2020,26.1
2014,Oddar Meanchey,,,2019-2020,29.3
2015,Oddar Meanchey,,,2019-2020,29.6
2016,Oddar Meanchey,,,2019-2020,31.5
2017,Oddar Meanchey,,,2019-2020,32.6
2018,Oddar Meanchey,,,2019-2020,34.8
2019,Oddar Meanchey,,,2019-2020,33.8
