Year,SERIES,Value
2005,"9.1.2 Air transport, international passengers carried",1769327
2006,"9.1.2 Air transport, international passengers carried",2340235
2007,"9.1.2 Air transport, international passengers carried",2979116
2008,"9.1.2 Air transport, international passengers carried",2878513
2009,"9.1.2 Air transport, international passengers carried",2524294
2010,"9.1.2 Air transport, international passengers carried",3051601
2011,"9.1.2 Air transport, international passengers carried",3480843
2012,"9.1.2 Air transport, international passengers carried",3997331
2013,"9.1.2 Air transport, international passengers carried",4606281
2014,"9.1.2 Air transport, international passengers carried",5168687
2015,"9.1.2 Air transport, international passengers carried",5606317
2016,"9.1.2 Air transport, international passengers carried",6201338
2017,"9.1.2 Air transport, international passengers carried",6877284
2018,"9.1.2 Air transport, international passengers carried",7626908
2019,"9.1.2 Air transport, international passengers carried",8458241
2020,"9.1.2 Air transport, international passengers carried",9380189
2005,"9.1.2 Air transport, domestic passengers carried",158384
2006,"9.1.2 Air transport, domestic passengers carried",159478
2007,"9.1.2 Air transport, domestic passengers carried",187066
2008,"9.1.2 Air transport, domestic passengers carried",182328
2009,"9.1.2 Air transport, domestic passengers carried",143649
2010,"9.1.2 Air transport, domestic passengers carried",136678
2011,"9.1.2 Air transport, domestic passengers carried",144465
2012,"9.1.2 Air transport, domestic passengers carried",172223
2013,"9.1.2 Air transport, domestic passengers carried",214418
2014,"9.1.2 Air transport, domestic passengers carried",298904
2015,"9.1.2 Air transport, domestic passengers carried",436167
2016,"9.1.2 Air transport, domestic passengers carried",423478
2017,"9.1.2 Air transport, domestic passengers carried",432795
2018,"9.1.2 Air transport, domestic passengers carried",442316
2019,"9.1.2 Air transport, domestic passengers carried",452047
2020,"9.1.2 Air transport, domestic passengers carried",461992
