Year,Reference area,Sex,Degree of urbanisation,Time period details,Value
1998,Cambodia,Female,,2019,58.3
2000,Cambodia,Female,,2019,54.4
2001,Cambodia,Female,,2019,55.1
2002,Cambodia,Female,,2019,55.8
2003,Cambodia,Female,,2019,56.5
2004,Cambodia,Female,,2019,57.2
2005,Cambodia,Female,,2019,57.9
2006,Cambodia,Female,,2019,58.6
2007,Cambodia,Female,,2019,59.3
2008,Cambodia,Female,,2019,64.3
2009,Cambodia,Female,,2019,65.2
2010,Cambodia,Female,,2019,66.1
2011,Cambodia,Female,,2019,67.0
2012,Cambodia,Female,,2019,67.9
2013,Cambodia,Female,,2019,68.8
2014,Cambodia,Female,,2019,69.6
2015,Cambodia,Female,,2019,70.4
2016,Cambodia,Female,,2019,71.2
2017,Cambodia,Female,,2019,72.0
2018,Cambodia,Female,,2019,72.7
2019,Cambodia,Female,,2019,76.8
1998,Cambodia,Male,,2019,54.4
2000,Cambodia,Male,,2019,60.6
2001,Cambodia,Male,,2019,61.3
2002,Cambodia,Male,,2019,62.0
2003,Cambodia,Male,,2019,62.7
2004,Cambodia,Male,,2019,63.4
2005,Cambodia,Male,,2019,64.1
2006,Cambodia,Male,,2019,64.9
2007,Cambodia,Male,,2019,65.6
2008,Cambodia,Male,,2019,60.5
2009,Cambodia,Male,,2019,61.4
2010,Cambodia,Male,,2019,62.3
2011,Cambodia,Male,,2019,63.1
2012,Cambodia,Male,,2019,64.0
2013,Cambodia,Male,,2019,64.8
2014,Cambodia,Male,,2019,65.6
2015,Cambodia,Male,,2019,66.4
2016,Cambodia,Male,,2019,67.1
2017,Cambodia,Male,,2019,67.9
2018,Cambodia,Male,,2019,68.6
2019,Cambodia,Male,,2019,74.3
1998,Cambodia,,,2019,56.3
2000,Cambodia,,,2019,57.5
2001,Cambodia,,,2019,58.2
2002,Cambodia,,,2019,58.9
2003,Cambodia,,,2019,59.6
2004,Cambodia,,,2019,60.3
2005,Cambodia,,,2019,61.0
2006,Cambodia,,,2019,61.7
2007,Cambodia,,,2019,62.4
2008,Cambodia,,,2019,62.4
2009,Cambodia,,,2019,63.8
2010,Cambodia,,,2019,64.5
2011,Cambodia,,,2019,65.2
2012,Cambodia,,,2019,66.7
2013,Cambodia,,,2019,67.6
2014,Cambodia,,,2019,68.3
2015,Cambodia,,,2019,69.1
2016,Cambodia,,,2019,69.9
2017,Cambodia,,,2019,70.6
2018,Cambodia,,,2019,70.6
2019,Cambodia,,,2019,75.5
1998,Cambodia,,Urban,2019,60.0
2019,Cambodia,,Urban,2019,75.6
1998,Cambodia,,Rural,2019,55.8
2019,Cambodia,,Rural,2019,74.5
2008,Banteay Meanchey,Female,,2008,67.9
2008,Banteay Meanchey,Male,,2008,64.0
2008,Banteay Meanchey,,,2008,65.9
2008,Battambang,Female,,2008,67.2
2008,Battambang,Male,,2008,63.3
2008,Battambang,,,2008,65.2
2008,Kampong Cham,Female,,2008,66.7
2008,Kampong Cham,Male,,2008,62.9
2008,Kampong Cham,,,2008,64.8
2008,Kampong Chhnang,Female,,2008,68.6
2008,Kampong Chhnang,Male,,2008,64.7
2008,Kampong Chhnang,,,2008,66.6
2008,Kampong Speu,Female,,2008,63.8
2008,Kampong Speu,Male,,2008,60.0
2008,Kampong Speu,,,2008,61.8
2008,Kampong Thom,Female,,2008,64.7
2008,Kampong Thom,Male,,2008,60.9
2008,Kampong Thom,,,2008,62.8
2008,Kampot,Female,,2008,62.1
2008,Kampot,Male,,2008,58.5
2008,Kampot,,,2008,60.2
2008,Kandal,Female,,2008,67.1
2008,Kandal,Male,,2008,63.2
2008,Kandal,,,2008,65.1
2008,Kep,Female,,2008,65.0
2008,Kep,Male,,2008,61.2
2008,Kep,,,2008,63.0
2008,Koh Kong,Female,,2008,60.9
2008,Koh Kong,Male,,2008,57.3
2008,Koh Kong,,,2008,59.1
2008,Kratie,Female,,2008,60.5
2008,Kratie,Male,,2008,57.0
2008,Kratie,,,2008,58.7
2008,Mondul Kiri,Female,,2008,45.5
2008,Mondul Kiri,Male,,2008,52.5
2008,Mondul Kiri,,,2008,44.0
2008,Oddar Meanchey,Female,,2008,60.8
2008,Oddar Meanchey,Male,,2008,57.2
2008,Oddar Meanchey,,,2008,59.0
2008,Pailin,Female,,2008,64.2
2008,Pailin,Male,,2008,60.4
2008,Pailin,,,2008,62.3
2008,Phnom Penh,Female,,2008,70.8
2008,Phnom Penh,Male,,2008,66.8
2008,Phnom Penh,,,2008,68.8
2008,Preah Sihanouk,Female,,2008,54.4
2008,Preah Sihanouk,Male,,2008,51.3
2008,Preah Sihanouk,,,2008,52.8
2008,Preah Vihear,Female,,2008,43.4
2008,Preah Vihear,Male,,2008,40.5
2008,Preah Vihear,,,2008,41.9
2008,Prey Veng,Female,,2008,65.7
2008,Prey Veng,Male,,2008,61.9
2008,Prey Veng,,,2008,63.8
2008,Pursat,Female,,2008,65.1
2008,Pursat,Male,,2008,61.4
2008,Pursat,,,2008,63.2
2008,Ratanak Kiri,Female,,2008,35.0
2008,Ratanak Kiri,Male,,2008,32.5
2008,Ratanak Kiri,,,2008,33.7
2008,Siemreap,Female,,2008,70.0
2008,Siemreap,Male,,2008,66.1
2008,Siemreap,,,2008,68.7
2008,Stung Treng,Female,,2008,54.6
2008,Stung Treng,Male,,2008,51.5
2008,Stung Treng,,,2008,53.0
2008,Svay Rieng,Female,,2008,58.8
2008,Svay Rieng,Male,,2008,55.3
2008,Svay Rieng,,,2008,57.0
2008,Takeo,Female,,2008,64.3
2008,Takeo,Male,,2008,60.5
2008,Takeo,,,2008,62.4
2019,Cambodia,Female,Urban,2019,77.7
2019,Cambodia,Female,Rural,2019,76.4
2019,Cambodia,Male,Rural,2019,72.8
2019,Cambodia,Male,Urban,2019,73.5
