Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,18.3.1 The number of mine and ERW casualties received rights promotion,Cambodia,Number,280
2016,18.3.1 The number of mine and ERW casualties received rights promotion,Cambodia,Number,296
2017,18.3.1 The number of mine and ERW casualties received rights promotion,Cambodia,Number,309
2018,18.3.1 The number of mine and ERW casualties received rights promotion,Cambodia,Number,324
2019,18.3.1 The number of mine and ERW casualties received rights promotion,Cambodia,Number,340
2020,18.3.1 The number of mine and ERW casualties received rights promotion,Cambodia,Number,357
