Year,SERIES,Reference area,UNIT_MEASURE,Value
2016,"15.3.1 Area of forest landscape restoration for areas affected by desertification, drought and floods",Cambodia,Hectares,20000
2020,"15.3.1 Area of forest landscape restoration for areas affected by desertification, drought and floods",Cambodia,Hectares,24000
