Year,SERIES,Value
2005,"9.1.3 Air transport, international freight",16908.0
2006,"9.1.3 Air transport, international freight",22676.0
2007,"9.1.3 Air transport, international freight",26033.0
2008,"9.1.3 Air transport, international freight",21985.0
2009,"9.1.3 Air transport, international freight",15119.0
2010,"9.1.3 Air transport, international freight",17678.0
2011,"9.1.3 Air transport, international freight",20083.0
2012,"9.1.3 Air transport, international freight",27811.0
2013,"9.1.3 Air transport, international freight",31612.0
2014,"9.1.3 Air transport, international freight",32666.0
2015,"9.1.3 Air transport, international freight",36898.0
2016,"9.1.3 Air transport, international freight",46308.0
2017,"9.1.3 Air transport, international freight",53856.0
2018,"9.1.3 Air transport, international freight",62635.0
2019,"9.1.3 Air transport, international freight",72844.0
2020,"9.1.3 Air transport, international freight",84718.0
2005,"9.1.3 Air transport, domestic freight",65.0
2006,"9.1.3 Air transport, domestic freight",91.0
2007,"9.1.3 Air transport, domestic freight",398.0
2008,"9.1.3 Air transport, domestic freight",124.0
2009,"9.1.3 Air transport, domestic freight",75.0
2010,"9.1.3 Air transport, domestic freight",0.21
2011,"9.1.3 Air transport, domestic freight",124.0
2012,"9.1.3 Air transport, domestic freight",5.0
2013,"9.1.3 Air transport, domestic freight",62.0
2014,"9.1.3 Air transport, domestic freight",183.0
2015,"9.1.3 Air transport, domestic freight",252.0
2016,"9.1.3 Air transport, domestic freight",153.0
2017,"9.1.3 Air transport, domestic freight",132.0
2018,"9.1.3 Air transport, domestic freight",114.0
2019,"9.1.3 Air transport, domestic freight",99.0
2020,"9.1.3 Air transport, domestic freight",86.0
