Year,Degree of urbanisation,COMPOSITE_BREAKDOWN,Value
1993,,,8.6
1996,,,15.4
1997,,,16.7
1999,,,18.4
2004,,,24.7
2007,,,30.5
2008,,,32.8
2009,,,34.0
2010,,,40.0
2011,,,43.6
2012,,,45.2
2013,,,51.7
2014,,,55.9
2015,,,61.8
2016,,,72.9
2017,,,76.0
2019,,,80.36
2008,,Type of toilet: Pour Flush Connected To Sewerage,9.7
2009,,Type of toilet: Pour Flush Connected To Sewerage,9.6
2010,,Type of toilet: Pour Flush Connected To Sewerage,9.1
2011,,Type of toilet: Pour Flush Connected To Sewerage,9.0
2012,,Type of toilet: Pour Flush Connected To Sewerage,10.4
2013,,Type of toilet: Pour Flush Connected To Sewerage,11.3
2014,,Type of toilet: Pour Flush Connected To Sewerage,12.4
2015,,Type of toilet: Pour Flush Connected To Sewerage,12.6
2016,,Type of toilet: Pour Flush Connected To Sewerage,13.4
2017,,Type of toilet: Pour Flush Connected To Sewerage,11.9
2019,,Type of toilet: Pour Flush Connected To Sewerage,17.59
2008,,Type of toilet: Pour FlushConnected To Septic Tank,21.1
2009,,Type of toilet: Pour FlushConnected To Septic Tank,24.3
2010,,Type of toilet: Pour FlushConnected To Septic Tank,30.0
2011,,Type of toilet: Pour FlushConnected To Septic Tank,33.1
2012,,Type of toilet: Pour FlushConnected To Septic Tank,33.5
2013,,Type of toilet: Pour FlushConnected To Septic Tank,39.9
2014,,Type of toilet: Pour FlushConnected To Septic Tank,42.8
2015,,Type of toilet: Pour FlushConnected To Septic Tank,48.3
2016,,Type of toilet: Pour FlushConnected To Septic Tank,59.0
2017,,Type of toilet: Pour FlushConnected To Septic Tank,63.1
2019,,Type of toilet: Pour FlushConnected To Septic Tank,61.89
2008,,Type of toilet: Pit Latrine With Slab,2.0
2009,,Type of toilet: Pit Latrine With Slab,0.8
2010,,Type of toilet: Pit Latrine With Slab,0.9
2011,,Type of toilet: Pit Latrine With Slab,1.5
2012,,Type of toilet: Pit Latrine With Slab,1.2
2013,,Type of toilet: Pit Latrine With Slab,0.5
2014,,Type of toilet: Pit Latrine With Slab,0.7
2015,,Type of toilet: Pit Latrine With Slab,0.9
2016,,Type of toilet: Pit Latrine With Slab,0.5
2017,,Type of toilet: Pit Latrine With Slab,1.0
2019,,Type of toilet: Pit Latrine With Slab,0.88
1993,Urban,,17.5
1996,Urban,,32.3
1997,Urban,,30.2
1999,Urban,,34.3
2004,Urban,,70.3
2007,Urban,,76.1
2008,Urban,,75.9
2009,Urban,,84.8
2010,Urban,,86.4
2011,Urban,,87.4
2012,Urban,,86.4
2013,Urban,,93.0
2014,Urban,,89.0
2015,Urban,,92.1
2016,Urban,,93.6
2017,Urban,,94.4
2019,Urban,,90.57
1993,Rural,,6.2
1996,Rural,,7.9
1997,Rural,,7.8
1999,Rural,,10.1
2004,Rural,,14.8
2007,Rural,,20.3
2008,Rural,,22.8
2009,Rural,,22.9
2010,Rural,,29.2
2011,Rural,,33.2
2012,Rural,,33.3
2013,Rural,,40.9
2014,Rural,,46.9
2015,Rural,,53.7
2016,Rural,,67.4
2017,Rural,,71.2
2019,Rural,,74.15
