Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,13.1.1 Percentage of communes/Sangkats vulnerable to climate change,Cambodia,Percent,47
2016,13.1.1 Percentage of communes/Sangkats vulnerable to climate change,Cambodia,Percent,43
2019,13.1.1 Percentage of communes/Sangkats vulnerable to climate change,Cambodia,Percent,39
2020,13.1.1 Percentage of communes/Sangkats vulnerable to climate change,Cambodia,Percent,38
