Year,Reference area,Sex,Degree of urbanisation,Time period details,Value
2004,Cambodia,Female,,2019-2020,45.7
2005,Cambodia,Female,,2019-2020,42.2
2006,Cambodia,Female,,2019-2020,89.8
2007,Cambodia,Female,,2019-2020,88.0
2008,Cambodia,Female,,2019-2020,85.7
2009,Cambodia,Female,,2019-2020,83.6
2010,Cambodia,Female,,2019-2020,85.0
2011,Cambodia,Female,,2019-2020,89.9
2012,Cambodia,Female,,2019-2020,87.8
2013,Cambodia,Female,,2019-2020,90.2
2014,Cambodia,Female,,2019-2020,86.6
2015,Cambodia,Female,,2019-2020,84.0
2016,Cambodia,Female,,2019-2020,83.2
2017,Cambodia,Female,,2019-2020,82.7
2018,Cambodia,Female,,2019-2020,86.1
2019,Cambodia,Female,,2019-2020,87.6
2004,Cambodia,Female,Urban,2019-2020,56.4
2005,Cambodia,Female,Urban,2019-2020,54.2
2006,Cambodia,Female,Urban,2019-2020,94.9
2007,Cambodia,Female,Urban,2019-2020,91.5
2008,Cambodia,Female,Urban,2019-2020,88.3
2009,Cambodia,Female,Urban,2019-2020,84.4
2010,Cambodia,Female,Urban,2019-2020,88.2
2011,Cambodia,Female,Urban,2019-2020,78.8
2012,Cambodia,Female,Urban,2019-2020,79.2
2013,Cambodia,Female,Urban,2019-2020,78.6
2014,Cambodia,Female,Urban,2019-2020,76.6
2015,Cambodia,Female,Urban,2019-2020,75.2
2016,Cambodia,Female,Urban,2019-2020,74.0
2017,Cambodia,Female,Urban,2019-2020,72.5
2018,Cambodia,Female,Urban,2019-2020,77.1
2019,Cambodia,Female,Urban,2019-2020,77.2
2004,Cambodia,Female,Rural,2019-2020,44.5
2005,Cambodia,Female,Rural,2019-2020,41.1
2006,Cambodia,Female,Rural,2019-2020,90.5
2007,Cambodia,Female,Rural,2019-2020,88.8
2008,Cambodia,Female,Rural,2019-2020,87.0
2009,Cambodia,Female,Rural,2019-2020,83.5
2010,Cambodia,Female,Rural,2019-2020,84.4
2011,Cambodia,Female,Rural,2019-2020,92.4
2012,Cambodia,Female,Rural,2019-2020,90.2
2013,Cambodia,Female,Rural,2019-2020,92.8
2014,Cambodia,Female,Rural,2019-2020,88.8
2015,Cambodia,Female,Rural,2019-2020,86.0
2016,Cambodia,Female,Rural,2019-2020,85.4
2017,Cambodia,Female,Rural,2019-2020,85.1
2018,Cambodia,Female,Rural,2019-2020,88.2
2019,Cambodia,Female,Rural,2019-2020,90.1
2004,Cambodia,Female,Remote Area,2008-2009,25.3
2005,Cambodia,Female,Remote Area,2008-2009,22.8
2006,Cambodia,Female,Remote Area,2008-2009,52.2
2007,Cambodia,Female,Remote Area,2008-2009,56.2
2008,Cambodia,Female,Remote Area,2008-2009,60.4
2005,Cambodia,Male,,2019-2020,43.5
2006,Cambodia,Male,,2019-2020,90.4
2007,Cambodia,Male,,2019-2020,84.7
2008,Cambodia,Male,,2019-2020,85.4
2009,Cambodia,Male,,2019-2020,82.8
2010,Cambodia,Male,,2019-2020,85.6
2011,Cambodia,Male,,2019-2020,89.6
2012,Cambodia,Male,,2019-2020,86.9
2013,Cambodia,Male,,2019-2020,87.8
2014,Cambodia,Male,,2019-2020,81.8
2015,Cambodia,Male,,2019-2020,77.5
2016,Cambodia,Male,,2019-2020,76.7
2017,Cambodia,Male,,2019-2020,75.7
2018,Cambodia,Male,,2019-2020,78.5
2019,Cambodia,Male,,2019-2020,79.4
2005,Cambodia,Male,Urban,2019-2020,54.5
2006,Cambodia,Male,Urban,2019-2020,103.1
2007,Cambodia,Male,Urban,2019-2020,91.6
2008,Cambodia,Male,Urban,2019-2020,93.7
2009,Cambodia,Male,Urban,2019-2020,84.3
2010,Cambodia,Male,Urban,2019-2020,93.7
2011,Cambodia,Male,Urban,2019-2020,77.2
2012,Cambodia,Male,Urban,2019-2020,79.0
2013,Cambodia,Male,Urban,2019-2020,75.3
2014,Cambodia,Male,Urban,2019-2020,71.8
2015,Cambodia,Male,Urban,2019-2020,70.2
2016,Cambodia,Male,Urban,2019-2020,68.3
2017,Cambodia,Male,Urban,2019-2020,66.3
2018,Cambodia,Male,Urban,2019-2020,69.2
2019,Cambodia,Male,Urban,2019-2020,69.4
2005,Cambodia,Male,Rural,2019-2020,42.3
2006,Cambodia,Male,Rural,2019-2020,89.6
2007,Cambodia,Male,Rural,2019-2020,84.9
2008,Cambodia,Male,Rural,2019-2020,85.8
2009,Cambodia,Male,Rural,2019-2020,82.5
2010,Cambodia,Male,Rural,2019-2020,84.1
2011,Cambodia,Male,Rural,2019-2020,92.4
2012,Cambodia,Male,Rural,2019-2020,97.7
2013,Cambodia,Male,Rural,2019-2020,90.6
2014,Cambodia,Male,Rural,2019-2020,84.2
2015,Cambodia,Male,Rural,2019-2020,79.2
2016,Cambodia,Male,Rural,2019-2020,78.7
2017,Cambodia,Male,Rural,2019-2020,78.0
2018,Cambodia,Male,Rural,2019-2020,80.7
2019,Cambodia,Male,Rural,2019-2020,81.9
2005,Cambodia,Male,Remote Area,2008-2009,26.6
2006,Cambodia,Male,Remote Area,2008-2009,52.7
2007,Cambodia,Male,Remote Area,2008-2009,52.3
2008,Cambodia,Male,Remote Area,2008-2009,57.6
2004,Cambodia,,,2019-2020,46.8
2005,Cambodia,,,2019-2020,42.9
2006,Cambodia,,,2019-2020,90.1
2007,Cambodia,,,2019-2020,86.2
2008,Cambodia,,,2019-2020,85.6
2009,Cambodia,,,2019-2020,83.2
2010,Cambodia,,,2019-2020,85.3
2011,Cambodia,,,2019-2020,89.7
2012,Cambodia,,,2019-2020,87.4
2013,Cambodia,,,2019-2020,88.9
2014,Cambodia,,,2019-2020,84.1
2015,Cambodia,,,2019-2020,80.6
2016,Cambodia,,,2019-2020,79.9
2017,Cambodia,,,2019-2020,79.1
2018,Cambodia,,,2019-2020,82.1
2019,Cambodia,,,2019-2020,83.3
2004,Cambodia,,Urban,2019-2020,56.9
2005,Cambodia,,Urban,2019-2020,54.4
2006,Cambodia,,Urban,2019-2020,99.0
2007,Cambodia,,Urban,2019-2020,91.6
2008,Cambodia,,Urban,2019-2020,91.0
2009,Cambodia,,Urban,2019-2020,84.3
2010,Cambodia,,Urban,2019-2020,91.0
2011,Cambodia,,Urban,2019-2020,78.0
2012,Cambodia,,Urban,2019-2020,79.1
2013,Cambodia,,Urban,2019-2020,76.9
2014,Cambodia,,Urban,2019-2020,74.1
