Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,១៤.១.១ ភាគយនៃការកាត់បន្ថយការបំពុល សមុទ្រតាម រយៈសកម្មភាពអភិរក្សសមុទ្រ,KH,PT,40
2016,១៤.១.១ ភាគយនៃការកាត់បន្ថយការបំពុល សមុទ្រតាម រយៈសកម្មភាពអភិរក្សសមុទ្រ,KH,PT,40
2017,១៤.១.១ ភាគយនៃការកាត់បន្ថយការបំពុល សមុទ្រតាម រយៈសកម្មភាពអភិរក្សសមុទ្រ,KH,PT,40
2018,១៤.១.១ ភាគយនៃការកាត់បន្ថយការបំពុល សមុទ្រតាម រយៈសកម្មភាពអភិរក្សសមុទ្រ,KH,PT,40
2019,១៤.១.១ ភាគយនៃការកាត់បន្ថយការបំពុល សមុទ្រតាម រយៈសកម្មភាពអភិរក្សសមុទ្រ,KH,PT,40
2020,១៤.១.១ ភាគយនៃការកាត់បន្ថយការបំពុល សមុទ្រតាម រយៈសកម្មភាពអភិរក្សសមុទ្រ,KH,PT,50
