Year,REF_AREA,SEX,URBANISATION,TIME_DETAIL,Value
2004,KH,F,,2019-2020,45.7
2005,KH,F,,2019-2020,42.2
2006,KH,F,,2019-2020,89.8
2007,KH,F,,2019-2020,88.0
2008,KH,F,,2019-2020,85.7
2009,KH,F,,2019-2020,83.6
2010,KH,F,,2019-2020,85.0
2011,KH,F,,2019-2020,89.9
2012,KH,F,,2019-2020,87.8
2013,KH,F,,2019-2020,90.2
2014,KH,F,,2019-2020,86.6
2015,KH,F,,2019-2020,84.0
2016,KH,F,,2019-2020,83.2
2017,KH,F,,2019-2020,82.7
2018,KH,F,,2019-2020,86.1
2019,KH,F,,2019-2020,87.6
2004,KH,F,U,2019-2020,56.4
2005,KH,F,U,2019-2020,54.2
2006,KH,F,U,2019-2020,94.9
2007,KH,F,U,2019-2020,91.5
2008,KH,F,U,2019-2020,88.3
2009,KH,F,U,2019-2020,84.4
2010,KH,F,U,2019-2020,88.2
2011,KH,F,U,2019-2020,78.8
2012,KH,F,U,2019-2020,79.2
2013,KH,F,U,2019-2020,78.6
2014,KH,F,U,2019-2020,76.6
2015,KH,F,U,2019-2020,75.2
2016,KH,F,U,2019-2020,74.0
2017,KH,F,U,2019-2020,72.5
2018,KH,F,U,2019-2020,77.1
2019,KH,F,U,2019-2020,77.2
2004,KH,F,R,2019-2020,44.5
2005,KH,F,R,2019-2020,41.1
2006,KH,F,R,2019-2020,90.5
2007,KH,F,R,2019-2020,88.8
2008,KH,F,R,2019-2020,87.0
2009,KH,F,R,2019-2020,83.5
2010,KH,F,R,2019-2020,84.4
2011,KH,F,R,2019-2020,92.4
2012,KH,F,R,2019-2020,90.2
2013,KH,F,R,2019-2020,92.8
2014,KH,F,R,2019-2020,88.8
2015,KH,F,R,2019-2020,86.0
2016,KH,F,R,2019-2020,85.4
2017,KH,F,R,2019-2020,85.1
2018,KH,F,R,2019-2020,88.2
2019,KH,F,R,2019-2020,90.1
2004,KH,F,REMOTE,2008-2009,25.3
2005,KH,F,REMOTE,2008-2009,22.8
2006,KH,F,REMOTE,2008-2009,52.2
2007,KH,F,REMOTE,2008-2009,56.2
2008,KH,F,REMOTE,2008-2009,60.4
2005,KH,M,,2019-2020,43.5
2006,KH,M,,2019-2020,90.4
2007,KH,M,,2019-2020,84.7
2008,KH,M,,2019-2020,85.4
2009,KH,M,,2019-2020,82.8
2010,KH,M,,2019-2020,85.6
2011,KH,M,,2019-2020,89.6
2012,KH,M,,2019-2020,86.9
2013,KH,M,,2019-2020,87.8
2014,KH,M,,2019-2020,81.8
2015,KH,M,,2019-2020,77.5
2016,KH,M,,2019-2020,76.7
2017,KH,M,,2019-2020,75.7
2018,KH,M,,2019-2020,78.5
2019,KH,M,,2019-2020,79.4
2005,KH,M,U,2019-2020,54.5
2006,KH,M,U,2019-2020,103.1
2007,KH,M,U,2019-2020,91.6
2008,KH,M,U,2019-2020,93.7
2009,KH,M,U,2019-2020,84.3
2010,KH,M,U,2019-2020,93.7
2011,KH,M,U,2019-2020,77.2
2012,KH,M,U,2019-2020,79.0
2013,KH,M,U,2019-2020,75.3
2014,KH,M,U,2019-2020,71.8
2015,KH,M,U,2019-2020,70.2
2016,KH,M,U,2019-2020,68.3
2017,KH,M,U,2019-2020,66.3
2018,KH,M,U,2019-2020,69.2
2019,KH,M,U,2019-2020,69.4
2005,KH,M,R,2019-2020,42.3
2006,KH,M,R,2019-2020,89.6
2007,KH,M,R,2019-2020,84.9
2008,KH,M,R,2019-2020,85.8
2009,KH,M,R,2019-2020,82.5
2010,KH,M,R,2019-2020,84.1
2011,KH,M,R,2019-2020,92.4
2012,KH,M,R,2019-2020,97.7
2013,KH,M,R,2019-2020,90.6
2014,KH,M,R,2019-2020,84.2
2015,KH,M,R,2019-2020,79.2
2016,KH,M,R,2019-2020,78.7
2017,KH,M,R,2019-2020,78.0
2018,KH,M,R,2019-2020,80.7
2019,KH,M,R,2019-2020,81.9
2005,KH,M,REMOTE,2008-2009,26.6
2006,KH,M,REMOTE,2008-2009,52.7
2007,KH,M,REMOTE,2008-2009,52.3
2008,KH,M,REMOTE,2008-2009,57.6
2004,KH,,,2019-2020,46.8
2005,KH,,,2019-2020,42.9
2006,KH,,,2019-2020,90.1
2007,KH,,,2019-2020,86.2
2008,KH,,,2019-2020,85.6
2009,KH,,,2019-2020,83.2
2010,KH,,,2019-2020,85.3
2011,KH,,,2019-2020,89.7
2012,KH,,,2019-2020,87.4
2013,KH,,,2019-2020,88.9
2014,KH,,,2019-2020,84.1
2015,KH,,,2019-2020,80.6
2016,KH,,,2019-2020,79.9
2017,KH,,,2019-2020,79.1
2018,KH,,,2019-2020,82.1
2019,KH,,,2019-2020,83.3
2004,KH,,U,2019-2020,56.9
2005,KH,,U,2019-2020,54.4
2006,KH,,U,2019-2020,99.0
2007,KH,,U,2019-2020,91.6
2008,KH,,U,2019-2020,91.0
2009,KH,,U,2019-2020,84.3
2010,KH,,U,2019-2020,91.0
2011,KH,,U,2019-2020,78.0
2012,KH,,U,2019-2020,79.1
2013,KH,,U,2019-2020,76.9
2014,KH,,U,2019-2020,74.1
2015,KH,,U,2019-2020,72.6
2016,KH,,U,2019-2020,71.0
2017,KH,,U,2019-2020,69.3
2018,KH,,U,2019-2020,73.0
2019,KH,,U,2019-2020,73.1
2004,KH,,R,2019-2020,45.7
2005,KH,,R,2019-2020,41.7
2006,KH,,R,2019-2020,90.0
2007,KH,,R,2019-2020,86.8
2008,KH,,R,2019-2020,86.4
2009,KH,,R,2019-2020,83.0
2010,KH,,R,2019-2020,84.3
2011,KH,,R,2019-2020,92.4
2012,KH,,R,2019-2020,94.0
2013,KH,,R,2019-2020,91.7
2014,KH,,R,2019-2020,86.5
2015,KH,,R,2019-2020,82.5
2016,KH,,R,2019-2020,82.0
2017,KH,,R,2019-2020,81.4
2018,KH,,R,2019-2020,84.4
2019,KH,,R,2019-2020,85.8
2004,KH,,REMOTE,2008-2009,26.0
2005,KH,,REMOTE,2008-2009,24.7
2006,KH,,REMOTE,2008-2009,52.4
2007,KH,,REMOTE,2008-2009,54.1
2008,KH,,REMOTE,2008-2009,59.0
2009,KH01,F,,2019-2020,90.7
2010,KH01,F,,2019-2020,94.6
2011,KH01,F,,2019-2020,93.0
2012,KH01,F,,2019-2020,85.1
2013,KH01,F,,2019-2020,84.4
2014,KH01,F,,2019-2020,77.5
2015,KH01,F,,2019-2020,74.4
2016,KH01,F,,2019-2020,73.2
2017,KH01,F,,2019-2020,74.3
2018,KH01,F,,2019-2020,78.4
2019,KH01,F,,2019-2020,78.8
2009,KH01,M,,2019-2020,85.4
2010,KH01,M,,2019-2020,93.1
2011,KH01,M,,2019-2020,90.2
2012,KH01,M,,2019-2020,96.1
2013,KH01,M,,2019-2020,82.4
2014,KH01,M,,2019-2020,73.9
2015,KH01,M,,2019-2020,67.6
2016,KH01,M,,2019-2020,66.8
2017,KH01,M,,2019-2020,65.1
2018,KH01,M,,2019-2020,69.4
2019,KH01,M,,2019-2020,73.1
2009,KH01,,,2019-2020,88.0
2010,KH01,,,2019-2020,93.9
2011,KH01,,,2019-2020,91.6
2012,KH01,,,2019-2020,90.8
2013,KH01,,,2019-2020,83.4
2014,KH01,,,2019-2020,75.6
2015,KH01,,,2019-2020,70.9
2016,KH01,,,2019-2020,69.9
2017,KH01,,,2019-2020,69.5
2018,KH01,,,2019-2020,73.7
2019,KH01,,,2019-2020,75.8
2009,KH02,F,,2019-2020,85.6
2010,KH02,F,,2019-2020,73.5
2011,KH02,F,,2019-2020,85.4
2012,KH02,F,,2019-2020,82.1
2013,KH02,F,,2019-2020,86.4
2014,KH02,F,,2019-2020,82.1
2015,KH02,F,,2019-2020,80.2
2016,KH02,F,,2019-2020,79.3
2017,KH02,F,,2019-2020,81.0
2018,KH02,F,,2019-2020,84.8
2019,KH02,F,,2019-2020,85.9
2009,KH02,M,,2019-2020,81.3
2010,KH02,M,,2019-2020,76.9
2011,KH02,M,,2019-2020,80.8
2012,KH02,M,,2019-2020,90.7
2013,KH02,M,,2019-2020,80.2
2014,KH02,M,,2019-2020,77.4
2015,KH02,M,,2019-2020,73.7
2016,KH02,M,,2019-2020,71.6
2017,KH02,M,,2019-2020,74.0
2018,KH02,M,,2019-2020,77.3
2019,KH02,M,,2019-2020,79.2
2009,KH02,,,2019-2020,83.4
2010,KH02,,,2019-2020,75.2
2011,KH02,,,2019-2020,83.0
2012,KH02,,,2019-2020,86.5
2013,KH02,,,2019-2020,83.2
2014,KH02,,,2019-2020,79.7
2015,KH02,,,2019-2020,76.8
2016,KH02,,,2019-2020,75.3
2017,KH02,,,2019-2020,77.4
2018,KH02,,,2019-2020,80.9
2019,KH02,,,2019-2020,82.4
2009,KH03,F,,2019-2020,82.2
2010,KH03,F,,2019-2020,84.0
2011,KH03,F,,2019-2020,91.6
2012,KH03,F,,2019-2020,88.1
2013,KH03,F,,2019-2020,94.4
2014,KH03,F,,2019-2020,92.1
2015,KH03,F,,2019-2020,87.8
2016,KH03,F,,2019-2020,88.8
2017,KH03,F,,2019-2020,88.1
2018,KH03,F,,2019-2020,91.4
2019,KH03,F,,2019-2020,91.9
2009,KH03,M,,2019-2020,81.5
2010,KH03,M,,2019-2020,77.9
2011,KH03,M,,2019-2020,91.9
2012,KH03,M,,2019-2020,97.3
2013,KH03,M,,2019-2020,92.4
2014,KH03,M,,2019-2020,86.8
2015,KH03,M,,2019-2020,80.9
2016,KH03,M,,2019-2020,79.4
2017,KH03,M,,2019-2020,81.2
2018,KH03,M,,2019-2020,82.8
2019,KH03,M,,2019-2020,83.1
2009,KH03,,,2019-2020,81.8
2010,KH03,,,2019-2020,80.9
2011,KH03,,,2019-2020,91.8
2012,KH03,,,2019-2020,92.8
2013,KH03,,,2019-2020,93.4
2014,KH03,,,2019-2020,89.4
2015,KH03,,,2019-2020,84.2
2016,KH03,,,2019-2020,84.0
2017,KH03,,,2019-2020,84.6
2018,KH03,,,2019-2020,87.0
2019,KH03,,,2019-2020,87.4
2009,KH04,F,,2019-2020,88.0
2010,KH04,F,,2019-2020,97.9
2011,KH04,F,,2019-2020,89.9
2012,KH04,F,,2019-2020,88.9
2013,KH04,F,,2019-2020,91.4
2014,KH04,F,,2019-2020,90.2
2015,KH04,F,,2019-2020,87.7
2016,KH04,F,,2019-2020,84.5
2017,KH04,F,,2019-2020,85.3
2018,KH04,F,,2019-2020,87.7
2019,KH04,F,,2019-2020,87.8
2009,KH04,M,,2019-2020,82.2
2010,KH04,M,,2019-2020,94.4
2011,KH04,M,,2019-2020,85.0
2012,KH04,M,,2019-2020,94.9
2013,KH04,M,,2019-2020,84.1
2014,KH04,M,,2019-2020,84.1
2015,KH04,M,,2019-2020,77.9
2016,KH04,M,,2019-2020,79.0
2017,KH04,M,,2019-2020,76.8
2018,KH04,M,,2019-2020,78.0
2019,KH04,M,,2019-2020,79.2
2009,KH04,,,2019-2020,85.1
2010,KH04,,,2019-2020,96.1
2011,KH04,,,2019-2020,87.4
2012,KH04,,,2019-2020,92.0
2013,KH04,,,2019-2020,87.7
2014,KH04,,,2019-2020,87.1
2015,KH04,,,2019-2020,82.7
2016,KH04,,,2019-2020,81.7
2017,KH04,,,2019-2020,80.9
2018,KH04,,,2019-2020,82.8
2019,KH04,,,2019-2020,83.4
2009,KH05,F,,2019-2020,86.4
2010,KH05,F,,2019-2020,94.8
2011,KH05,F,,2019-2020,88.3
2012,KH05,F,,2019-2020,88.6
2013,KH05,F,,2019-2020,94.4
2014,KH05,F,,2019-2020,88.6
2015,KH05,F,,2019-2020,82.6
2016,KH05,F,,2019-2020,83.4
2017,KH05,F,,2019-2020,78.4
2018,KH05,F,,2019-2020,86.4
2019,KH05,F,,2019-2020,87.3
2009,KH05,M,,2019-2020,84.5
2010,KH05,M,,2019-2020,103.5
2011,KH05,M,,2019-2020,92.2
2012,KH05,M,,2019-2020,96.6
2013,KH05,M,,2019-2020,94.0
2014,KH05,M,,2019-2020,88.2
2015,KH05,M,,2019-2020,79.3
2016,KH05,M,,2019-2020,77.0
2017,KH05,M,,2019-2020,78.6
2018,KH05,M,,2019-2020,80.3
2019,KH05,M,,2019-2020,80.7
2009,KH05,,,2019-2020,85.5
2010,KH05,,,2019-2020,99.1
2011,KH05,,,2019-2020,90.2
2012,KH05,,,2019-2020,92.7
2013,KH05,,,2019-2020,94.2
2014,KH05,,,2019-2020,88.4
2015,KH05,,,2019-2020,80.9
2016,KH05,,,2019-2020,80.2
2017,KH05,,,2019-2020,78.5
2018,KH05,,,2019-2020,83.3
2019,KH05,,,2019-2020,84.0
2009,KH06,F,,2019-2020,79.3
2010,KH06,F,,2019-2020,83.4
2011,KH06,F,,2019-2020,86.4
2012,KH06,F,,2019-2020,82.7
2013,KH06,F,,2019-2020,87.2
2014,KH06,F,,2019-2020,83.1
2015,KH06,F,,2019-2020,83.4
2016,KH06,F,,2019-2020,84.1
2017,KH06,F,,2019-2020,87.1
2018,KH06,F,,2019-2020,84.7
2019,KH06,F,,2019-2020,85.8
2009,KH06,M,,2019-2020,74.8
2010,KH06,M,,2019-2020,76.0
2011,KH06,M,,2019-2020,82.0
2012,KH06,M,,2019-2020,90.0
