Year,SERIES,Value
2005,N_KH_090102_01,1769327
2006,N_KH_090102_01,2340235
2007,N_KH_090102_01,2979116
2008,N_KH_090102_01,2878513
2009,N_KH_090102_01,2524294
2010,N_KH_090102_01,3051601
2011,N_KH_090102_01,3480843
2012,N_KH_090102_01,3997331
2013,N_KH_090102_01,4606281
2014,N_KH_090102_01,5168687
2015,N_KH_090102_01,5606317
2016,N_KH_090102_01,6201338
2017,N_KH_090102_01,6877284
2018,N_KH_090102_01,7626908
2019,N_KH_090102_01,8458241
2020,N_KH_090102_01,9380189
2005,N_KH_090102_02,158384
2006,N_KH_090102_02,159478
2007,N_KH_090102_02,187066
2008,N_KH_090102_02,182328
2009,N_KH_090102_02,143649
2010,N_KH_090102_02,136678
2011,N_KH_090102_02,144465
2012,N_KH_090102_02,172223
2013,N_KH_090102_02,214418
2014,N_KH_090102_02,298904
2015,N_KH_090102_02,436167
2016,N_KH_090102_02,423478
2017,N_KH_090102_02,432795
2018,N_KH_090102_02,442316
2019,N_KH_090102_02,452047
2020,N_KH_090102_02,461992
