Year,Value
2000,3482
2001,5096
2002,6564
2003,7152
2004,7671
2005,8632
2006,9049
2007,11779
2008,20108
2009,291589
2010,193858
2011,1689389
2012,2706922
2013,3861979
2014,5025945
2015,6443976
2016,8099132
2017,10841728
2018,13611398
