Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2018,N_KH_08020301_01,KH,NUMBER,75
2019,N_KH_08020301_01,KH,NUMBER,125
2020,N_KH_08020301_01,KH,NUMBER,50
