Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,SH_STA_TRAF,KH,PER_100000_POP,10.756417
2008,SH_STA_TRAF,KH,PER_100000_POP,11.873742
2009,SH_STA_TRAF,KH,PER_100000_POP,12.189993
2010,SH_STA_TRAF,KH,PER_100000_POP,12.696833
2011,SH_STA_TRAF,KH,PER_100000_POP,13.118683
2012,SH_STA_TRAF,KH,PER_100000_POP,13.336577
2013,SH_STA_TRAF,KH,PER_100000_POP,13.286465
2014,SH_STA_TRAF,KH,PER_100000_POP,14.907281
2015,SH_STA_TRAF,KH,PER_100000_POP,14.685613
2016,SH_STA_TRAF,KH,PER_100000_POP,11.984014
2017,SH_STA_TRAF,KH,PER_100000_POP,11.324831
2018,SH_STA_TRAF,KH,PER_100000_POP,11.018785
2019,SH_STA_TRAF,KH,PER_100000_POP,12.16138
