Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2000,IT_USE_II99,KH,NUMBER,3482
2001,IT_USE_II99,KH,NUMBER,5096
2002,IT_USE_II99,KH,NUMBER,6564
2003,IT_USE_II99,KH,NUMBER,7152
2004,IT_USE_II99,KH,NUMBER,7671
2005,IT_USE_II99,KH,NUMBER,8632
2006,IT_USE_II99,KH,NUMBER,9049
2007,IT_USE_II99,KH,NUMBER,11779
2008,IT_USE_II99,KH,NUMBER,20108
2009,IT_USE_II99,KH,NUMBER,291589
2010,IT_USE_II99,KH,NUMBER,193858
2011,IT_USE_II99,KH,NUMBER,1689389
2012,IT_USE_II99,KH,NUMBER,2706922
2013,IT_USE_II99,KH,NUMBER,3861979
2014,IT_USE_II99,KH,NUMBER,5025945
2015,IT_USE_II99,KH,NUMBER,6443976
2016,IT_USE_II99,KH,NUMBER,8099132
2017,IT_USE_II99,KH,NUMBER,10841728
2018,IT_USE_II99,KH,NUMBER,13611398
