Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,6
2016,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,6
2017,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,7
2018,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,7
2019,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,7
2020,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,10
